,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7701.250000000002,0.0,0.0,483.9125000000017,334.0229166666644,0.0,478.51249999999897
Mean Average Fixation Time [ms],96.74130457138781,0.0,0.0,88.70833333333368,95.85396191646117,0.0,93.19636123680186
Mean Hits,73.0,0.0,0.0,18.5,20.5,0.0,21.25
Mean Relative Dwelltime [%],71.69440368069269,0.0,0.0,52.988454455449954,35.491180728949786,0.0,39.825961134907566
Mean Revisits,1.0,0.0,0.0,4.5,6.0,0.0,5.75
Mean Total Dwelltime [ms],7701.250000000002,0.0,0.0,2151.0000000000073,2134.2499999999873,0.0,2341.7499999999945
Mean Total Fixation Time [ms],7058.750000000009,0.0,0.0,1642.2500000000055,1964.749999999991,0.0,1989.9999999999854
Standard Deviation Average Dwelltime [ms],713.8242956078171,0.0,0.0,19.28633745686628,38.94685225210563,0.0,399.4976537008682
Standard Deviation Average Fixation Time [ms],1.2527481555521591,0.0,0.0,0.058925565098503815,1.6415909579211994,0.0,1.7327049085745674
Standard Deviation Hits,6.363961030678928,0.0,0.0,0.7071067811865476,4.949747468305833,0.0,15.202795795510772
Standard Deviation Relative Dwelltime [%],7.149842091944734,0.0,0.0,0.0961306864397757,9.970760702521009,0.0,17.216733480905525
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.7071067811865476,0.0,1.0606601717798212
Standard Deviation Total Dwelltime [ms],713.8242956078171,0.0,0.0,52.32590180781995,580.1811139635699,0.0,1721.4514587986423
Standard Deviation Total Fixation Time [ms],523.6125714686359,0.0,0.0,59.75052301027098,509.47043584492036,0.0,1463.711037056138
