,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],6471.0,0.0,0.0,0.0,182.5000000000009,0.0,540.9374999999994
Mean Average Fixation Time [ms],98.07221693160461,0.0,0.0,0.0,96.25,0.0,96.18888888888887
Mean Hits,69.5,0.0,0.0,0.0,1.75,0.0,15.0
Mean Relative Dwelltime [%],92.85340171763329,0.0,0.0,0.0,3.735990212048109,0.0,53.41060807031862
Mean Revisits,1.25,0.0,0.0,0.0,1.0,0.0,3.0
Mean Total Dwelltime [ms],7416.75,0.0,0.0,0.0,182.5000000000009,0.0,1561.7499999999977
Mean Total Fixation Time [ms],6816.750000000006,0.0,0.0,0.0,160.0,0.0,1434.4999999999995
Standard Deviation Average Dwelltime [ms],1337.8460300049478,0.0,0.0,0.0,116.67261889577905,0.0,93.24970676897553
Standard Deviation Average Fixation Time [ms],0.5514079215339442,0.0,0.0,0.0,5.303300858901679,0.0,5.389725021044102
Standard Deviation Hits,1.4142135623730951,0.0,0.0,0.0,1.0606601717798212,0.0,2.1213203435596424
Standard Deviation Relative Dwelltime [%],4.056324065171981,0.0,0.0,0.0,1.410136852933886,0.0,2.6461872122381016
Standard Deviation Revisits,0.3535533905932738,0.0,0.0,0.0,0.0,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.3535533905932738,0.0,0.0,0.0,116.67261889577905,0.0,193.3937046545188
Standard Deviation Total Fixation Time [ms],103.59114344383565,0.0,0.0,0.0,84.85281374238313,0.0,119.50104602052718
