,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,106.25,740.1378968253962,88.95833333333121
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,46.785714285714285,94.90469904389384,68.66666666666472
Mean Hits,0.0,0.0,0.0,0.0,2.25,55.25,3.25
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,3.570454531741196,91.60911722056146,4.820428247697342
Mean Revisits,0.0,0.0,0.0,0.0,1.0,8.5,2.5
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,212.5,5794.4999999999945,294.9999999999927
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,202.5,5235.9999999999945,294.9999999999927
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,150.26019100214134,120.44525805175473,46.25656860261955
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,66.1649916681698,1.773813161536698,33.469720976162556
Standard Deviation Hits,0.0,0.0,0.0,0.0,3.181980515339464,0.3535533905932738,1.0606601717798212
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,5.049385222624878,6.550796058339083,1.5014108357142009
Standard Deviation Revisits,0.0,0.0,0.0,0.0,1.4142135623730951,1.4142135623730951,0.7071067811865476
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,300.5203820042827,124.45079348882464,98.99494936611666
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,286.37824638055173,52.32590180781738,98.99494936611666
