,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,1330.9541666666664,0.0,158.75000000000136,0.0,0.0
Mean Average Fixation Time [ms],0.0,0.0,96.73550674403482,0.0,87.50000000000102,0.0,0.0
Mean Hits,0.0,0.0,75.25,0.0,2.0,0.0,0.0
Mean Relative Dwelltime [%],0.0,0.0,315.8480871853101,0.0,9.151912814689908,0.0,0.0
Mean Revisits,0.0,0.0,6.25,0.0,1.5,0.0,0.0
Mean Total Dwelltime [ms],0.0,0.0,7965.999999999998,0.0,277.5000000000023,0.0,0.0
Mean Total Fixation Time [ms],0.0,0.0,7292.750000000002,0.0,180.00000000000227,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,0.0,217.97155785726315,0.0,111.36931803688188,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.8141743574713572,0.0,10.606601717798373,0.0,0.0
Standard Deviation Hits,0.0,0.0,11.667261889578034,0.0,1.4142135623730951,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,0.0,42.75022573174908,0.0,7.394886672421693,0.0,0.0
Standard Deviation Revisits,0.0,0.0,0.3535533905932738,0.0,0.7071067811865476,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,1335.7247096613887,0.0,279.3071785686882,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,0.0,1194.6569068146678,0.0,141.42135623731144,0.0,0.0
