,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],6906.000000000001,695.4434523809537,1306.7916666666663,483.9125000000017,389.9965560583203,691.8531171442933,359.1022043745717
Mean Average Fixation Time [ms],97.38174984686553,93.0605424936818,96.82406060820344,88.70833333333368,93.82616532528483,94.93427759740254,93.84789582630806
Mean Hits,142.5,43.25,76.5,18.5,60.5,100.0,47.0
Mean Relative Dwelltime [%],28.54113360167421,9.64893924144343,15.234388674019732,4.059650915556988,12.777580054178925,20.205387686720044,9.532919826406665
Mean Revisits,2.25,7.25,6.75,4.5,17.0,15.75,14.75
Mean Time to First Fixation [ms],22084.5,1599.25,12185.5,34222.75,1566.5,5781.5,6436.25
Mean Total Dwelltime [ms],15118.000000000002,5117.750000000009,8103.499999999998,2151.0000000000073,6732.749999999993,10707.499999999996,5033.249999999984
Mean Total Fixation Time [ms],13875.500000000015,4027.499999999993,7417.750000000002,1642.2500000000055,5662.249999999985,9490.249999999995,4404.499999999978
Standard Deviation Average Dwelltime [ms],566.7460851210192,120.81845329738145,252.14249305810318,19.28633745686628,52.908473895450484,26.866609250811916,99.95147682702301
Standard Deviation Average Fixation Time [ms],0.4386235093081191,0.9287088701573338,0.6889402817635545,0.058925565098503815,1.311479151592405,0.4452132550053193,1.0896725847187618
Standard Deviation Hits,4.949747468305833,13.788582233137676,9.899494936611665,0.7071067811865476,9.899494936611665,8.48528137423857,15.556349186104045
Standard Deviation Relative Dwelltime [%],0.707060462180166,2.8270694991053578,1.7498545065134612,0.1946094017216935,2.218871264536796,0.4968778439658712,3.3673816455063594
Standard Deviation Revisits,0.3535533905932738,1.0606601717798212,1.0606601717798212,0.0,0.7071067811865476,1.0606601717798212,0.3535533905932738
Standard Deviation Time to First Fixation [ms],130.8147545195113,841.1035162213983,3190.4657967137023,356.7353711086132,540.9366876077089,826.607827207074,162.28100628231266
Standard Deviation Total Dwelltime [ms],713.4707422172239,1597.00066530983,1141.2703448350876,52.32590180781995,1052.5284437961518,514.0666299226143,1660.6402756165962
Standard Deviation Total Fixation Time [ms],420.0214280247996,1318.7541469129426,1017.8802115180304,59.75052301027098,844.6390501273088,768.271517759171,1406.435387780025
