,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,155.00000000000023,619.2232142857142,191.24999999999943
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,97.50000000000023,94.13289036544853,94.99999999999966
Mean Hits,0.0,0.0,0.0,0.0,2.0,39.0,5.0
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,3.8032739829582742,85.91176090925552,10.284965107786208
Mean Revisits,0.0,0.0,0.0,0.0,1.5,7.5,3.0
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,205.00000000000045,4637.5,564.9999999999982
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,195.00000000000045,3674.000000000001,469.9999999999982
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,77.7817459305199,18.877225676319668,12.374368670764742
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,3.5355339059330593,0.9960573927676554,7.071067811865636
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.0,5.656854249492381,1.4142135623730951
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,0.246710628622315,3.0477219618577878,3.2944325904801017
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,1.4142135623730951
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,7.0710678118648325,296.2777413171618,233.3452377915594
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,7.0710678118661185,571.3422791987265,98.99494936611536
