,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,402.50000000000017,137.50000000000023,0.0,905.1666666666665,0.0,20.0
Mean Average Fixation Time [ms],0.0,99.09090909090908,50.00000000000009,0.0,93.02380952380949,0.0,20.0
Mean Hits,0.0,6.5,2.5,0.0,29.0,0.0,0.5
Mean Relative Dwelltime [%],0.0,17.051147531695502,6.1124694376528215,0.0,76.39183979882239,0.0,0.44454323182929534
Mean Revisits,0.0,1.5,1.0,0.0,4.0,0.0,0.5
Mean Total Dwelltime [ms],0.0,705.0000000000003,275.00000000000045,0.0,3289.5,0.0,20.0
Mean Total Fixation Time [ms],0.0,639.9999999999999,250.00000000000045,0.0,2699.999999999999,0.0,20.0
Standard Deviation Average Dwelltime [ms],0.0,286.37824638055196,194.4543648263009,0.0,468.3403914058897,0.0,28.284271247461902
Standard Deviation Average Fixation Time [ms],0.0,1.2856486930664666,70.71067811865488,0.0,3.266159894052124,0.0,28.284271247461902
Standard Deviation Hits,0.0,6.363961030678928,3.5355339059327378,0.0,1.4142135623730951,0.0,0.7071067811865476
Standard Deviation Relative Dwelltime [%],0.0,17.827173418206737,8.644337178319665,0.0,8.554157172372895,0.0,0.6286790675141565
Standard Deviation Revisits,0.0,0.7071067811865476,1.4142135623730951,0.0,1.4142135623730951,0.0,0.7071067811865476
Standard Deviation Total Dwelltime [ms],0.0,714.1778489984135,388.9087296526018,0.0,593.2625894155123,0.0,28.284271247461902
Standard Deviation Total Fixation Time [ms],0.0,622.2539674441617,353.5533905932744,0.0,226.2741699796944,0.0,28.284271247461902
