,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7196.500000000004,0.0,0.0,497.550000000004,306.48333333332994,0.0,760.999999999998
Mean Average Fixation Time [ms],97.62713128729769,0.0,0.0,88.66666666666728,94.69318181818058,0.0,94.42156862745016
Mean Hits,68.5,0.0,0.0,19.0,17.0,0.0,32.0
Mean Relative Dwelltime [%],66.63870185306556,0.0,0.0,52.92047979518827,28.440788222608838,0.0,52.000030129137336
Mean Revisits,1.0,0.0,0.0,4.5,5.5,0.0,5.0
Mean Total Dwelltime [ms],7196.500000000004,0.0,0.0,2188.000000000018,1723.9999999999818,0.0,3558.999999999989
Mean Total Fixation Time [ms],6688.500000000011,0.0,0.0,1684.500000000011,1604.4999999999818,0.0,3024.9999999999745
Standard Deviation Average Dwelltime [ms],184.55486988969406,0.0,0.0,144.17907268393654,108.44661000797821,0.0,347.89653634378175
Standard Deviation Average Fixation Time [ms],2.945826140633646,0.0,0.0,0.23570226039637165,1.4945666056889315,0.0,2.48180615357687
Standard Deviation Hits,0.7071067811865476,0.0,0.0,1.4142135623730951,7.0710678118654755,0.0,2.8284271247461903
Standard Deviation Relative Dwelltime [%],3.7756429003624072,0.0,0.0,7.954942536310339,15.727470120991367,0.0,11.54817048504344
Standard Deviation Revisits,0.0,0.0,0.0,0.7071067811865476,0.7071067811865476,0.0,1.4142135623730951
Standard Deviation Total Dwelltime [ms],184.55486988969406,0.0,0.0,296.9848480983448,813.1727983645349,0.0,663.2661607529867
Standard Deviation Total Fixation Time [ms],270.82189719444256,0.0,0.0,120.91525958288419,644.17427766095,0.0,346.4823227814237
