,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,1176.8249999999996,0.0,80.00000000000091,0.0,0.0
Mean Average Fixation Time [ms],0.0,0.0,96.15979853479863,0.0,80.00000000000091,0.0,0.0
Mean Hits,0.0,0.0,67.0,0.0,1.0,0.0,0.0
Mean Relative Dwelltime [%],0.0,0.0,346.07706169748553,0.0,3.922938302514506,0.0,0.0
Mean Revisits,0.0,0.0,6.5,0.0,1.0,0.0,0.0
Mean Total Dwelltime [ms],0.0,0.0,7021.499999999997,0.0,80.00000000000091,0.0,0.0
Mean Total Fixation Time [ms],0.0,0.0,6448.0000000000055,0.0,80.00000000000091,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,0.0,591.9544418703183,0.0,28.284271247463188,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.6805579002078358,0.0,28.284271247463188,0.0,0.0
Standard Deviation Hits,0.0,0.0,15.556349186104045,0.0,0.0,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,0.0,69.14837690283628,0.0,1.5623012158184257,0.0,0.0
Standard Deviation Revisits,0.0,0.0,2.1213203435596424,0.0,0.0,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,1351.2810588474936,0.0,28.284271247463188,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,0.0,1541.4927829866685,0.0,28.284271247463188,0.0,0.0
