,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7306.750000000002,610.011904761905,1128.4999999999995,497.550000000004,427.4084967320248,710.8506787330316,429.77857142856976
Mean Average Fixation Time [ms],97.69190350468514,92.40384615384545,96.33690626313586,88.66666666666728,92.89880952380906,95.24909090909094,93.07738095238035
Mean Hits,139.0,33.5,69.5,19.0,67.5,94.0,58.0
Mean Relative Dwelltime [%],28.04116635415772,7.649899227740375,13.997054686374224,4.197260543197054,14.346558971912863,19.854041993830425,11.914018222787327
Mean Revisits,2.0,6.5,7.5,4.5,17.5,15.0,14.5
Mean Time to First Fixation [ms],22177.0,2194.0,9929.5,33970.5,1184.0,6366.0,6321.5
Mean Total Dwelltime [ms],14613.500000000004,3988.5000000000005,7296.499999999998,2188.000000000018,7476.999999999975,10344.0,6207.499999999976
Mean Total Fixation Time [ms],13578.500000000022,3094.999999999971,6698.0000000000055,1684.500000000011,6259.49999999997,8947.000000000004,5398.999999999965
Standard Deviation Average Dwelltime [ms],6.717514421274774,66.24917104687937,660.296312271998,144.17907268393654,7.491634590217682,225.39748555415184,68.70047455499518
Standard Deviation Average Fixation Time [ms],0.4770051491247182,0.13598207330646767,0.4300897487922153,0.23570226039637165,3.510280092318717,1.511922863045941,0.36197132846468094
Standard Deviation Hits,2.8284271247461903,7.7781745930520225,12.020815280171307,1.4142135623730951,6.363961030678928,8.48528137423857,2.8284271247461903
Standard Deviation Relative Dwelltime [%],0.1422028425974236,1.6222022866185084,1.7885181763439468,0.5524379530601384,0.268785418194019,2.7119486919055897,1.3777922997136165
Standard Deviation Revisits,0.0,0.7071067811865476,3.5355339059327378,0.7071067811865476,0.7071067811865476,2.8284271247461903,0.7071067811865476
Standard Deviation Time to First Fixation [ms],1695.6420612853371,219.20310216782966,6296.785886466206,932.6738443850562,318.19805153394634,98.99494936611666,1052.8819971867683
Standard Deviation Total Dwelltime [ms],13.435028842549547,861.9631662663816,962.3723291948921,296.9848480983448,171.1198410471535,1370.3729419395297,692.2575387816211
Standard Deviation Total Fixation Time [ms],210.0107140124046,714.1778489983616,1187.9393923933937,120.91525958288419,354.26049737447187,666.0945878777477,284.25692603699855
