,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,628.2166666666699,0.0,0.0,421.25000000000335,0.0,0.0
Mean Average Fixation Time [ms],0.0,92.92892156862789,0.0,0.0,92.23214285714279,0.0,0.0
Mean Hits,0.0,29.0,0.0,0.0,11.0,0.0,0.0
Mean Relative Dwelltime [%],0.0,71.67909285705733,0.0,0.0,28.32090714294268,0.0,0.0
Mean Revisits,0.0,5.5,0.0,0.0,3.5,0.0,0.0
Mean Total Dwelltime [ms],0.0,3393.500000000018,0.0,0.0,1385.000000000011,0.0,0.0
Mean Total Fixation Time [ms],0.0,2695.0000000000146,0.0,0.0,1009.9999999999964,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,174.49038337079986,0.0,0.0,252.79067427419292,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.017331048559085988,0.0,0.0,2.146574157174829,0.0,0.0
Standard Deviation Hits,0.0,7.0710678118654755,0.0,0.0,4.242640687119285,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,5.748556279035727,0.0,0.0,5.748556279035728,0.0,0.0
Standard Deviation Revisits,0.0,0.7071067811865476,0.0,0.0,0.7071067811865476,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,515.480843484988,0.0,0.0,586.8986283848396,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,657.6093065035097,0.0,0.0,367.69552621698926,0.0,0.0
