,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],5525.0,0.0,0.0,0.0,100.00000000000182,0.0,474.9999999999997
Mean Average Fixation Time [ms],98.46212121212125,0.0,0.0,0.0,100.00000000000182,0.0,99.99999999999996
Mean Hits,68.5,0.0,0.0,0.0,1.0,0.0,13.5
Mean Relative Dwelltime [%],95.72165597080658,0.0,0.0,0.0,2.738872880937501,0.0,51.53947114825593
Mean Revisits,1.5,0.0,0.0,0.0,1.0,0.0,3.0
Mean Total Dwelltime [ms],7416.5,0.0,0.0,0.0,100.00000000000182,0.0,1424.999999999999
Mean Total Fixation Time [ms],6743.500000000002,0.0,0.0,0.0,100.00000000000182,0.0,1349.999999999999
Standard Deviation Average Dwelltime [ms],2463.5600256539315,0.0,0.0,0.0,2.5724394843074972e-12,0.0,398.3368200684214
Standard Deviation Average Fixation Time [ms],0.6535380856420654,0.0,0.0,0.0,2.5724394843074972e-12,0.0,6.029155041345696e-14
Standard Deviation Hits,3.5355339059327378,0.0,0.0,0.0,0.0,0.0,12.020815280171307
Standard Deviation Relative Dwelltime [%],6.0504921505833025,0.0,0.0,0.0,2.0937946589601895,0.0,62.56639130911126
Standard Deviation Revisits,0.7071067811865476,0.0,0.0,0.0,0.0,0.0,0.0
Standard Deviation Total Dwelltime [ms],211.4249275747777,0.0,0.0,0.0,2.5724394843074972e-12,0.0,1195.010460205264
Standard Deviation Total Fixation Time [ms],303.34880912903145,0.0,0.0,0.0,2.5724394843074972e-12,0.0,1202.0815280171296
