,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,0.0,654.9702380952367,56.24999999999818
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,0.0,93.6504237288133,44.99999999999854
Mean Hits,0.0,0.0,0.0,0.0,0.0,55.5,2.5
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,0.0,96.24122953558313,3.7587704644168696
Mean Revisits,0.0,0.0,0.0,0.0,0.0,9.5,2.0
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,0.0,5882.499999999989,224.99999999999272
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,0.0,5198.999999999985,224.99999999999272
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,0.0,192.17310366318577,79.54951288348403
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,0.0,0.5662846679841688,63.63961030678722
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.0,4.949747468305833,3.5355339059327378
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,0.0,5.315704168625754,5.315704168625754
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.0,3.5355339059327378,2.8284271247461903
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,0.0,490.0249993622826,318.1980515339361
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,0.0,494.9747468305833,318.1980515339361
