,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,77.00000000000011,763.7626488095239,262.77083333333314
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,57.76785714285724,95.49329830838788,82.4839743589744
Mean Hits,0.0,0.0,0.0,0.0,1.875,45.75,6.625
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,2.891170387041867,85.44777572043967,11.661053892518474
Mean Revisits,0.0,0.0,0.0,0.0,1.5,6.75,2.375
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,177.50000000000034,4903.125,716.1249999999995
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,172.50000000000023,4373.0,615.0000000000007
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,36.06244584051402,102.50838618513727,23.77646551739787
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,22.602163184355845,0.824771323965002,16.476494548801842
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.1767766952966369,1.4142135623730951,0.8838834764831844
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,0.20086028588281332,2.8015480609281913,2.6006877750453805
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.0,0.7071067811865476,1.2374368670764582
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,1.6077746776921858e-13,13.965358928435279,153.61894821277681
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,3.2155493553843715e-13,167.93786053180503,84.85281374238538
