,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,618.4583333333334,34.37500000000006,0.0,1395.5729166666665,0.0,5.0
Mean Average Fixation Time [ms],0.0,84.7001319914205,12.500000000000023,0.0,92.7809638278388,0.0,5.0
Mean Hits,0.0,9.875,0.625,0.0,22.875,0.0,0.125
Mean Relative Dwelltime [%],0.0,32.38747592656745,1.5281173594132054,0.0,65.97327090606203,0.0,0.11113580795732383
Mean Revisits,0.0,1.5,0.25,0.0,2.625,0.0,0.125
Mean Total Dwelltime [ms],0.0,1170.7500000000002,68.75000000000011,0.0,2647.25,0.0,5.0
Mean Total Fixation Time [ms],0.0,936.2500000000002,62.500000000000114,0.0,2131.249999999999,0.0,5.0
Standard Deviation Average Dwelltime [ms],0.0,217.3764096497647,48.61359120657522,0.0,661.1301090181474,0.0,7.0710678118654755
Standard Deviation Average Fixation Time [ms],0.0,17.253592125008915,17.67766952966372,0.0,0.19531234695547908,0.0,7.0710678118654755
Standard Deviation Hits,0.0,7.601397897755386,0.8838834764831844,0.0,2.6516504294495533,0.0,0.1767766952966369
Standard Deviation Relative Dwelltime [%],0.0,13.964993904130786,2.1610842945799162,0.0,16.28324796558924,0.0,0.15716976687853912
Standard Deviation Revisits,0.0,0.7071067811865476,0.3535533905932738,0.0,0.5303300858899106,0.0,0.1767766952966369
Standard Deviation Total Dwelltime [ms],0.0,860.5489527040288,97.22718241315044,0.0,474.4686501761734,0.0,7.0710678118654755
Standard Deviation Total Fixation Time [ms],0.0,730.0877515751107,88.3883476483186,0.0,256.326208180123,0.0,7.0710678118654755
