,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,566.3145833333344,0.0,0.0,480.2857142857147,0.0,0.0
Mean Average Fixation Time [ms],0.0,91.95746349238999,0.0,0.0,92.30164973914945,0.0,0.0
Mean Hits,0.0,24.625,0.0,0.0,13.375,0.0,0.0
Mean Relative Dwelltime [%],0.0,64.15985960113275,0.0,0.0,35.84014039886725,0.0,0.0
Mean Revisits,0.0,5.125,0.0,0.0,3.5,0.0,0.0
Mean Total Dwelltime [ms],0.0,2862.5000000000055,0.0,0.0,1611.7500000000036,0.0,0.0
Mean Total Fixation Time [ms],0.0,2267.499999999999,0.0,0.0,1224.9999999999982,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,107.68352393994714,0.0,0.0,24.53407992581251,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.017300749523009324,0.0,0.0,0.9400913623395653,0.0,0.0
Standard Deviation Hits,0.0,4.772970773009196,0.0,0.0,3.005203820042827,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,8.98547553014947,0.0,0.0,8.985475530149468,0.0,0.0
Standard Deviation Revisits,0.0,0.1767766952966369,0.0,0.0,0.3535533905932738,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,673.1656556895983,0.0,0.0,254.204887836569,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,434.87067042971773,0.0,0.0,272.2361107568285,0.0,0.0
