,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7750.812500000002,0.0,155.75000000000028,505.3125000000015,296.2811011904739,0.0,431.82708333333244
Mean Average Fixation Time [ms],97.26956883591575,0.0,43.5937500000003,90.74205549155181,92.51153978175981,0.0,94.15026395173405
Mean Hits,78.875,0.0,3.875,19.25,16.25,0.0,18.375
Mean Relative Dwelltime [%],72.9000169356105,0.0,2.3757234793033,51.28313592664145,38.23771885423608,0.0,35.20340480420869
Mean Revisits,1.125,0.0,1.0,4.5,5.375,0.0,5.0
Mean Total Dwelltime [ms],8326.125000000002,0.0,384.7500000000009,2257.3750000000064,1695.7499999999895,0.0,1966.6249999999964
Mean Total Fixation Time [ms],7672.749999999997,0.0,352.5000000000009,1749.8750000000064,1513.6249999999936,0.0,1739.999999999991
Standard Deviation Average Dwelltime [ms],70.09195968511685,0.0,220.26376233960994,30.26417023478388,53.37498731501135,0.0,66.02314941503874
Standard Deviation Average Fixation Time [ms],0.7470784874124523,0.0,61.65087248470253,2.876117458250755,4.726898714070703,0.0,1.3490221566416107
Standard Deviation Hits,8.308504678941933,0.0,5.480077554195743,1.0606601717798212,6.010407640085654,0.0,4.065863991822648
Standard Deviation Relative Dwelltime [%],1.7049946160815348,0.0,3.3597803648789237,2.4116845916071235,3.8841914663546473,0.0,6.537281855707962
Standard Deviation Revisits,0.1767766952966369,0.0,1.4142135623730951,0.0,0.8838834764831844,0.0,1.0606601717798212
Standard Deviation Total Dwelltime [ms],883.7066997878877,0.0,544.1186681230496,150.4369676974367,620.1326471005989,0.0,530.5068625852047
Standard Deviation Total Fixation Time [ms],868.3271272970636,0.0,498.5102807365173,152.20473465040564,637.9870933255586,0.0,353.55339059326604
