,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7409.5,0.0,0.0,0.0,100.00000000000023,0.0,607.6562499999995
Mean Average Fixation Time [ms],97.88454085959316,0.0,0.0,0.0,56.87499999999977,0.0,95.81842336407544
Mean Hits,72.375,0.0,0.0,0.0,1.125,0.0,16.125
Mean Relative Dwelltime [%],91.18481445680376,0.0,0.0,0.0,2.3583285327542187,0.0,43.95685701044202
Mean Revisits,1.125,0.0,0.0,0.0,0.75,0.0,2.875
Mean Total Dwelltime [ms],7882.375,0.0,0.0,0.0,108.75,0.0,1660.6249999999986
Mean Total Fixation Time [ms],7083.250000000004,0.0,0.0,0.0,97.49999999999955,0.0,1537.25
Standard Deviation Average Dwelltime [ms],1327.2394282871496,0.0,0.0,0.0,116.67261889578131,0.0,94.35456111458014
Standard Deviation Average Fixation Time [ms],0.26541404637151583,0.0,0.0,0.0,55.68465901844094,0.0,0.5239173695828182
Standard Deviation Hits,4.065863991822648,0.0,0.0,0.0,0.8838834764831844,0.0,1.590990257669732
Standard Deviation Relative Dwelltime [%],2.359738734268083,0.0,0.0,0.0,1.9483078312191129,0.0,13.369622964176502
Standard Deviation Revisits,0.1767766952966369,0.0,0.0,0.0,0.3535533905932738,0.0,0.1767766952966369
Standard Deviation Total Dwelltime [ms],658.4931899799724,0.0,0.0,0.0,104.29825022501706,0.0,139.83036597964107
Standard Deviation Total Fixation Time [ms],376.88791437242566,0.0,0.0,0.0,88.38834764831908,0.0,145.31044353383615
