,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,0.0,0.0,150.20833333333275,581.4950847763346,253.45416666666452
Mean Average Fixation Time [ms],0.0,0.0,0.0,0.0,71.72619047619003,95.97846432854965,81.6785037878775
Mean Hits,0.0,0.0,0.0,0.0,2.75,46.125,6.5
Mean Relative Dwelltime [%],0.0,0.0,0.0,0.0,4.82316469265359,82.76342831947647,12.41340698786993
Mean Revisits,0.0,0.0,0.0,0.0,1.375,9.0,2.75
Mean Total Dwelltime [ms],0.0,0.0,0.0,0.0,271.2499999999991,4854.124999999999,710.7499999999927
Mean Total Fixation Time [ms],0.0,0.0,0.0,0.0,256.2499999999991,4417.75,602.4999999999955
Standard Deviation Average Dwelltime [ms],0.0,0.0,0.0,0.0,62.16647117931647,224.35481637278875,232.6322384538642
Standard Deviation Average Fixation Time [ms],0.0,0.0,0.0,0.0,35.271159680614055,1.5185334283656433,18.401516528208795
Standard Deviation Hits,0.0,0.0,0.0,0.0,0.7071067811865476,12.904698756654492,4.596194077712559
Standard Deviation Relative Dwelltime [%],0.0,0.0,0.0,0.0,1.7715996992848895,12.509693212447539,10.73809351316265
Standard Deviation Revisits,0.0,0.0,0.0,0.0,0.5303300858899106,0.7071067811865476,0.3535533905932738
Standard Deviation Total Dwelltime [ms],0.0,0.0,0.0,0.0,83.08504678941804,1329.8910787165928,587.9592885566143
Standard Deviation Total Fixation Time [ms],0.0,0.0,0.0,0.0,76.01397897755257,1157.1802474117774,434.8706704297306
