,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],0.0,0.0,1182.678869047619,0.0,163.22916666666754,0.0,0.0
Mean Average Fixation Time [ms],0.0,0.0,95.96082958421731,0.0,87.4955357142863,0.0,0.0
Mean Hits,0.0,0.0,64.625,0.0,4.0,0.0,0.0
Mean Relative Dwelltime [%],0.0,0.0,295.82268669998587,0.0,29.177313300014127,0.0,0.0
Mean Revisits,0.0,0.0,6.125,0.0,2.375,0.0,0.0
Mean Total Dwelltime [ms],0.0,0.0,6820.749999999999,0.0,406.2500000000016,0.0,0.0
Mean Total Fixation Time [ms],0.0,0.0,6219.750000000002,0.0,347.5000000000016,0.0,0.0
Standard Deviation Average Dwelltime [ms],0.0,0.0,209.692936857764,0.0,6.334498248128792,0.0,0.0
Standard Deviation Average Fixation Time [ms],0.0,0.0,1.0955589458745985,0.0,0.006313453404062846,0.0,0.0
Standard Deviation Hits,0.0,0.0,15.026019100214135,0.0,2.8284271247461903,0.0,0.0
Standard Deviation Relative Dwelltime [%],0.0,0.0,28.32019295829826,0.0,28.32019295829827,0.0,0.0
Standard Deviation Revisits,0.0,0.0,0.1767766952966369,0.0,1.2374368670764582,0.0,0.0
Standard Deviation Total Dwelltime [ms],0.0,0.0,1619.628082307786,0.0,182.07999615553504,0.0,0.0
Standard Deviation Total Fixation Time [ms],0.0,0.0,1517.451152426331,0.0,236.88077169749246,0.0,0.0
