,App,Cap,Gauge,Pad,Pen,Safety,Tip
Mean Average Dwelltime [ms],7425.229166666668,606.940476190477,1113.4307539682538,505.3125000000015,419.49066439279636,634.3782607442437,389.630268853952
Mean Average Fixation Time [ms],97.60038968586622,92.83320186885061,95.80072187568805,90.74205549155181,92.56876081142714,95.73430486655609,93.99743295034853
Mean Hits,151.25,34.5,69.125,19.25,62.25,91.875,47.75
Mean Relative Dwelltime [%],31.67454145251693,7.8717844146494445,14.024514293821323,4.3585518507967596,13.461930859151442,18.928778418596387,9.679898710467713
Mean Revisits,2.25,6.625,7.25,4.5,17.0,15.75,13.125
Mean Time to First Fixation [ms],20644.125,9341.0,12711.375,33463.25,1178.125,5311.875,9327.0
Mean Total Dwelltime [ms],16208.5,4033.2500000000055,7284.25,2257.3750000000064,6969.624999999995,9757.25,5059.124999999987
Mean Total Fixation Time [ms],14756.0,3203.749999999999,6634.750000000003,1749.8750000000064,5743.624999999991,8790.75,4499.749999999987
Standard Deviation Average Dwelltime [ms],734.3009294796802,125.16210923895513,273.4536251709349,30.26417023478388,41.71096801671733,81.28172141639621,43.173202819739906
Standard Deviation Average Fixation Time [ms],0.30920342558983677,0.3215081949146315,1.4472195144249493,2.876117458250755,1.7782385168866985,1.1314094143052549,0.2114774288962966
Standard Deviation Hits,12.374368670764582,12.374368670764582,10.429825022501577,1.0606601717798212,2.4748737341529163,11.490485194281398,1.0606601717798212
Standard Deviation Relative Dwelltime [%],4.431307879108106,2.513276458488862,1.7110207572443328,0.42270975642208747,0.9678181898130789,1.8053981408316668,0.20785953122159584
Standard Deviation Revisits,0.0,0.8838834764831844,0.7071067811865476,0.0,0.0,0.0,2.2980970388562794
Standard Deviation Time to First Fixation [ms],2036.9978599031467,10948.487846501908,743.6995571129513,1074.0952006223656,549.2451922866508,664.1500442294648,4088.1378554300245
Standard Deviation Total Dwelltime [ms],1542.1998897678582,1533.7146083936268,1158.5944609741555,150.4369676974367,334.99183758713076,1343.8564376450286,36.592775926408976
Standard Deviation Total Fixation Time [ms],1245.2150416694897,1164.9584220048287,1107.3292193381321,152.20473465040564,115.08162863811864,989.2423868799723,134.7038418160502
