start_time	end_time	Block	Grid	IFU	Single Shape
0.365	0.455	530.8	595.9	56.6	1600.0
0.595	0.835	723.2	484.0	0.0	1600.0
0.874	0.954	824.7	418.4	0.0	1600.0
0.974	1.104	873.6	376.4	0.0	1600.0
1.124	1.354	903.1	370.9	0.0	1600.0
1.374	1.504	1600.0	402.2	0.0	1600.0
1.544	1.804	1600.0	431.2	0.0	1600.0
1.824	1.904	1600.0	431.2	0.0	1600.0
1.944	2.054	1600.0	434.9	0.0	1600.0
2.074	2.184	1600.0	436.3	0.0	1600.0
2.224	2.294	1600.0	436.4	0.0	1600.0
2.354	2.873	1600.0	443.5	0.0	1600.0
2.953	3.153	1600.0	557.2	0.0	1600.0
3.173	3.293	1600.0	478.0	0.0	1600.0
3.313	3.403	1600.0	480.1	0.0	1600.0
3.463	3.673	1600.0	410.2	0.0	1600.0
3.693	3.773	1600.0	222.5	130.0	1600.0
3.793	3.973	1600.0	90.8	279.2	1600.0
3.993	4.083	1600.0	0.0	453.1	1600.0
4.123	4.243	1600.0	0.0	425.5	1600.0
4.372	4.452	1600.0	25.1	592.9	141.0
4.522	4.642	1600.0	172.9	185.5	1600.0
4.662	4.902	915.6	329.5	40.3	1600.0
4.922	5.012	828.4	371.0	0.0	1600.0
5.092	5.162	385.6	816.4	143.7	781.0
5.222	5.302	269.0	1019.0	260.8	1600.0
5.342	5.452	26.9	1600.0	549.6	1600.0
5.512	5.682	41.1	1600.0	600.7	1600.0
6.071	6.151	0.0	1600.0	863.6	535.9
6.231	6.321	0.0	1600.0	842.0	255.0
6.491	6.561	235.1	1600.0	616.9	12.1
6.741	6.851	0.0	1600.0	898.8	231.2
6.941	7.021	0.0	1600.0	903.4	303.3
7.171	7.271	0.0	1600.0	952.6	314.9
7.311	7.411	0.0	1600.0	921.7	250.8
7.491	7.82	0.0	1600.0	817.4	91.1
7.84	7.93	0.0	1600.0	774.5	1600.0
7.97	8.07	0.0	1600.0	760.3	50.2
8.11	8.22	0.0	1600.0	748.6	41.2
8.24	8.37	47.0	1600.0	782.0	1600.0
8.68	9.07	0.0	1600.0	646.4	1600.0
9.09	9.17	148.0	1600.0	444.1	1600.0
9.21	9.34	211.5	938.5	383.0	1600.0
9.739	9.809	1409.1	11.3	357.1	1600.0
9.959	10.109	1600.0	19.8	286.7	1600.0
10.179	10.289	1600.0	166.0	180.3	1600.0
10.649	10.789	1600.0	0.0	435.3	1600.0
10.859	10.949	1600.0	0.0	488.2	433.8
11.258	11.368	1600.0	0.0	1600.0	1600.0
11.438	11.518	1600.0	0.0	1600.0	1600.0
11.578	11.788	1600.0	26.9	1600.0	1600.0
11.808	12.068	1600.0	0.0	526.4	159.0
12.108	12.328	659.8	598.5	18.7	280.8
12.928	13.047	737.5	402.2	8.0	697.7
13.107	13.187	494.6	1600.0	160.9	364.4
13.207	13.297	419.1	1600.0	289.8	293.8
13.397	13.577	542.4	1600.0	340.1	475.8
13.697	13.897	71.0	1600.0	829.4	118.9
13.987	14.057	0.0	1600.0	842.5	94.0
14.157	14.297	50.8	1600.0	651.2	0.0
14.377	14.487	0.0	1600.0	770.8	53.3
14.567	14.906	123.7	1600.0	607.5	3.2
14.986	15.336	0.0	1600.0	733.1	50.2
15.376	15.456	0.0	1600.0	742.9	69.3
15.496	15.656	2.0	1600.0	798.8	96.3
15.686	15.876	0.0	1600.0	835.8	135.9
15.896	15.986	0.0	1600.0	842.7	142.2
16.326	16.555	4.5	1600.0	803.3	1600.0
16.575	16.845	5.4	1600.0	881.0	1600.0
16.905	16.985	0.0	1600.0	816.6	1600.0
17.005	17.125	0.0	1600.0	775.5	1600.0
17.145	17.255	0.0	1600.0	736.9	1600.0
17.295	17.405	0.0	1600.0	660.6	1600.0
17.425	17.535	69.0	1600.0	494.0	1600.0
17.575	17.885	290.5	850.0	292.9	1600.0
18.254	18.354	1118.3	209.3	172.2	1600.0
18.404	18.484	1019.5	365.4	38.2	1600.0
18.634	18.724	281.3	1172.1	458.0	1600.0
18.854	19.074	1049.4	1600.0	0.0	1600.0
19.094	19.174	1049.6	1600.0	0.0	1600.0
19.404	19.534	1070.9	1600.0	0.0	1600.0
19.544	19.634	1600.0	426.5	0.0	1600.0
19.654	19.884	1600.0	371.5	33.0	1600.0
19.943	20.053	1600.0	400.8	127.5	1600.0
20.073	20.173	1600.0	353.6	120.0	1600.0
20.193	20.453	1600.0	123.3	296.7	1600.0
20.473	20.603	1600.0	0.0	447.0	1600.0
20.623	20.723	1600.0	0.0	471.9	1600.0
20.933	21.033	1600.0	0.0	631.5	1600.0
21.073	21.173	1600.0	0.0	357.1	1600.0
21.193	21.303	1600.0	89.0	220.3	1600.0
21.363	21.483	965.5	207.0	149.2	484.0
21.603	21.842	1600.0	438.5	0.0	481.2
21.892	21.972	1600.0	284.6	52.0	324.3
21.992	22.152	1600.0	340.4	2.0	522.2
22.222	22.502	1600.0	0.0	422.5	165.3
22.662	22.782	671.8	593.8	0.0	1600.0
22.822	23.022	1600.0	527.3	0.0	511.9
23.072	23.192	584.3	763.5	95.0	444.5
23.212	23.322	451.9	856.3	193.7	344.8
23.491	23.731	904.3	438.8	225.3	116.9
23.771	23.941	1159.4	229.3	171.1	20.9
23.961	24.041	1600.0	122.5	262.3	1600.0
24.121	24.321	1600.0	0.0	676.3	145.7
24.341	24.421	1600.0	0.0	754.1	71.6
24.441	24.551	1600.0	0.0	727.0	43.0
24.901	24.971	1600.0	0.0	1600.0	1600.0
24.991	25.081	1600.0	0.0	1600.0	1600.0
25.27	25.45	1600.0	0.0	990.1	1600.0
25.54	25.69	1087.9	0.0	750.1	1600.0
25.86	25.93	1600.0	213.3	190.0	1600.0
25.97	26.27	1600.0	593.9	0.0	1600.0
26.49	26.58	1600.0	806.9	1.0	1600.0
26.63	26.76	1600.0	644.7	0.0	1600.0
26.849	27.159	1600.0	283.3	143.2	1600.0
27.219	27.519	1600.0	0.0	633.1	1600.0
27.859	28.039	1600.0	0.0	1600.0	1600.0
28.129	28.239	1600.0	0.0	1600.0	1600.0
28.349	28.608	1600.0	0.0	1111.3	1600.0
28.668	28.768	1600.0	0.0	1600.0	1600.0
28.828	28.898	1600.0	0.0	1600.0	1600.0
29.108	29.338	1600.0	0.0	1600.0	1600.0
29.378	29.598	1600.0	0.0	1600.0	1600.0
29.658	29.758	1600.0	0.0	1600.0	146.3
29.778	29.858	1600.0	0.0	1600.0	1600.0
29.898	30.048	1600.0	0.0	751.7	1600.0
30.088	30.258	1600.0	0.0	591.8	258.8
30.377	30.457	1600.0	0.0	675.7	110.6
30.477	30.657	1600.0	0.0	755.2	145.4
30.737	30.907	1600.0	18.6	961.9	229.3
30.927	30.997	1600.0	0.0	956.6	281.3
31.137	31.257	1600.0	0.0	871.2	220.6
31.297	31.407	1600.0	19.4	803.2	109.9
31.427	31.537	1600.0	18.0	760.9	83.5
31.697	31.957	1600.0	34.8	735.7	0.0
31.977	32.216	1600.0	66.2	809.3	0.0
32.256	32.756	1600.0	0.0	713.8	95.5
32.776	32.886	917.8	458.4	0.0	1600.0
32.906	33.116	923.8	488.3	0.0	1600.0
33.476	33.586	717.7	569.0	0.0	467.4
33.676	33.875	842.5	458.8	0.0	609.1
33.895	34.015	804.9	523.3	17.1	528.6
34.045	34.155	488.8	1600.0	247.3	215.6
34.215	34.335	242.7	1600.0	513.7	49.6
34.355	34.465	277.9	1600.0	468.3	109.3
34.905	34.975	0.0	1600.0	885.0	291.5
