start_time	end_time	Block	Grid	IFU	Single Shape
0.285	0.355	1600.0	1600.0	312.8	1600.0
0.435	0.695	1600.0	1600.0	623.0	1600.0
0.735	0.964	1600.0	1600.0	1600.0	1600.0
1.004	1.164	1600.0	151.0	950.2	1600.0
2.104	2.194	538.9	758.2	114.0	1600.0
2.274	2.344	1600.0	560.6	0.0	1600.0
2.444	2.623	1600.0	250.9	168.1	1600.0
2.703	2.893	1600.0	311.9	95.5	1600.0
3.023	3.193	1600.0	98.1	512.0	1600.0
3.213	3.343	1600.0	153.4	290.8	1600.0
3.653	3.763	1600.0	739.5	0.0	1600.0
3.783	3.883	1600.0	678.2	0.0	1600.0
3.903	4.013	1600.0	613.5	0.0	1600.0
4.083	4.233	1600.0	490.2	0.0	1600.0
4.332	4.492	1600.0	441.2	0.0	1600.0
4.512	4.602	1600.0	495.6	0.0	1600.0
4.642	4.732	1600.0	444.5	0.0	1600.0
4.752	4.822	1600.0	338.7	60.0	1600.0
4.902	4.992	1600.0	0.0	445.9	1600.0
5.012	5.152	1600.0	0.0	595.9	1600.0
5.172	5.362	1600.0	0.0	778.3	1600.0
5.462	5.562	1600.0	142.3	1600.0	1600.0
5.732	5.852	1600.0	88.8	1600.0	1600.0
5.942	6.061	1600.0	66.4	1600.0	1600.0
6.071	6.301	1600.0	10.6	1600.0	1600.0
6.331	6.411	1600.0	21.5	1600.0	1600.0
6.481	6.671	1600.0	0.0	1600.0	1600.0
6.721	6.831	1600.0	0.0	1600.0	234.4
6.851	7.111	1600.0	0.0	1600.0	170.6
7.151	7.281	1600.0	23.4	1600.0	84.0
7.301	7.391	1600.0	73.1	1600.0	21.3
7.431	7.88	1600.0	97.9	1600.0	0.0
7.9	8.36	1600.0	51.6	1600.0	1600.0
8.4	8.57	1600.0	0.0	1600.0	1600.0
8.67	9.08	1600.0	0.0	1153.6	1600.0
9.11	9.349	1600.0	0.0	1600.0	1600.0
9.459	9.589	1600.0	0.0	1600.0	281.0
9.659	9.809	1600.0	0.0	1600.0	268.9
10.019	10.299	1600.0	294.0	312.9	1600.0
10.319	10.559	925.3	488.3	111.2	626.9
10.959	11.068	0.0	1600.0	703.5	285.3
11.088	11.248	0.0	1600.0	659.5	277.2
11.338	11.528	139.2	1600.0	1000.2	1600.0
11.538	11.688	37.0	1600.0	863.5	1600.0
11.738	11.818	0.0	1600.0	687.0	1600.0
11.868	11.978	138.1	1600.0	554.5	1600.0
11.998	12.248	117.9	1600.0	530.4	1600.0
12.268	12.348	97.0	1600.0	495.5	1600.0
12.438	12.548	121.8	1600.0	432.7	1600.0
12.698	12.857	271.3	920.2	286.1	1600.0
12.897	12.967	405.4	802.3	172.7	1600.0
12.987	13.097	467.1	774.6	140.2	1600.0
13.247	13.357	530.2	811.5	135.4	1600.0
13.497	13.617	1600.0	177.3	223.8	1600.0
13.697	13.797	1600.0	201.3	239.6	1600.0
13.817	13.887	1600.0	80.6	402.8	1600.0
13.947	14.117	1600.0	0.0	770.7	1600.0
14.237	14.347	1600.0	0.0	754.2	1600.0
14.367	14.436	1600.0	0.0	1600.0	1600.0
14.826	15.026	1600.0	0.0	1223.8	1600.0
15.066	15.256	1600.0	0.0	1129.1	1600.0
15.306	15.446	1600.0	0.0	884.1	1600.0
15.536	15.666	1600.0	63.6	607.8	1600.0
15.786	15.946	1600.0	448.0	0.0	1600.0
16.046	16.145	821.1	564.3	0.0	1600.0
16.175	16.295	1600.0	509.7	0.0	1600.0
16.585	16.675	1600.0	39.4	528.9	1600.0
16.715	16.895	1600.0	0.0	719.4	1600.0
16.915	16.985	1600.0	0.0	746.1	1600.0
17.405	17.485	1600.0	50.9	812.0	1600.0
17.535	17.635	1600.0	0.0	650.8	1600.0
17.685	18.034	1600.0	0.0	614.7	98.2
18.104	18.314	1600.0	70.6	794.6	219.8
18.484	18.574	1600.0	0.0	664.2	1600.0
18.614	18.924	1600.0	0.0	723.9	1600.0
19.034	19.284	1600.0	0.0	724.4	1600.0
19.454	19.543	1600.0	219.1	1085.9	0.0
19.613	19.693	1600.0	233.2	1158.4	0.0
19.713	19.863	1600.0	215.3	1144.9	0.0
19.883	20.023	1600.0	153.1	1023.2	2.0
20.043	20.113	1600.0	223.0	844.5	47.4
20.133	20.363	1600.0	403.8	314.4	353.2
20.403	20.623	390.0	1600.0	303.7	1600.0
20.663	20.803	297.1	1600.0	379.0	331.3
21.212	21.362	0.0	1600.0	649.4	1600.0
21.382	21.462	191.1	991.5	355.8	1600.0
21.512	21.612	378.5	808.5	210.3	1600.0
21.632	21.872	440.3	732.1	141.8	1600.0
22.182	22.272	1145.9	145.6	202.2	1600.0
22.602	22.752	1600.0	404.4	2.2	1600.0
22.872	23.011	1600.0	464.8	0.0	1600.0
23.131	23.241	1600.0	636.9	0.0	1600.0
23.261	23.371	1600.0	727.5	0.0	1600.0
23.481	23.681	860.2	620.5	0.0	1600.0
23.721	23.981	1600.0	633.2	0.0	1600.0
24.131	24.371	1600.0	445.0	0.0	1600.0
24.451	24.551	1600.0	405.2	10.8	1600.0
24.571	24.66	1600.0	400.8	7.0	1600.0
24.75	24.96	1600.0	370.9	49.0	1600.0
25.06	25.23	1600.0	0.0	512.6	1600.0
25.28	25.45	1600.0	0.0	634.7	1600.0
25.63	25.78	1600.0	0.0	725.9	1600.0
25.8	25.91	1600.0	69.3	326.8	1600.0
25.97	26.299	1027.2	347.2	54.0	1600.0
26.649	26.899	1600.0	0.0	517.1	1600.0
26.989	27.209	1600.0	0.0	545.3	1600.0
27.599	27.719	1600.0	49.6	1128.3	1600.0
27.759	27.869	1600.0	10.6	965.2	1600.0
27.969	28.148	1600.0	0.0	985.0	1600.0
28.168	28.298	1600.0	0.0	818.5	1600.0
28.318	28.578	1600.0	26.8	358.8	1600.0
28.738	28.818	1600.0	311.7	101.3	1600.0
28.838	28.918	1600.0	198.3	233.5	1600.0
29.038	29.108	1600.0	492.2	0.0	1600.0
29.318	29.528	1600.0	0.0	579.3	1600.0
29.857	30.057	1600.0	13.5	1221.5	1600.0
30.097	30.227	1600.0	136.7	1600.0	99.0
30.247	30.357	1600.0	90.9	1600.0	1600.0
30.517	30.697	1600.0	15.0	1600.0	0.0
30.797	30.887	1600.0	10.0	536.0	1600.0
30.907	31.367	780.8	679.7	78.3	404.7
31.666	31.756	0.0	1600.0	757.7	232.0
31.976	32.136	91.7	1600.0	986.2	422.7
32.236	32.346	0.0	1600.0	821.9	336.6
32.386	32.506	0.0	1600.0	789.7	261.8
32.666	32.916	0.0	1600.0	647.0	1600.0
32.966	33.036	1.0	1600.0	502.8	1600.0
33.215	33.345	355.1	716.0	144.1	1600.0
33.485	33.615	578.3	517.8	0.0	1600.0
33.845	33.955	1253.6	65.1	291.9	1600.0
34.215	34.335	1600.0	0.0	476.8	1600.0
34.455	34.685	1600.0	0.0	501.9	1600.0
34.764	34.894	1600.0	42.0	842.7	1600.0
35.014	35.114	1600.0	134.0	624.9	1600.0
35.134	35.244	1600.0	118.2	583.9	47.4
35.264	35.394	1600.0	44.8	689.3	41.6
35.554	35.794	1600.0	0.0	598.1	54.7
35.874	36.044	1600.0	52.3	522.9	1600.0
36.084	36.374	1600.0	88.6	320.8	1600.0
36.444	36.533	1600.0	248.1	175.6	1600.0
36.933	37.033	1600.0	274.9	142.3	1600.0
37.103	37.233	1600.0	197.7	227.7	520.4
37.253	37.343	1600.0	141.3	289.3	516.4
37.543	37.613	1600.0	163.5	1027.4	220.4
37.783	37.873	1600.0	165.6	793.1	0.0
38.063	38.482	1600.0	137.0	675.5	51.0
38.502	38.712	1600.0	134.5	379.2	1600.0
38.852	39.002	1206.3	160.4	293.4	1600.0
39.212	39.282	500.5	843.4	57.7	501.7
39.302	39.392	555.0	718.7	10.2	391.6
39.452	39.692	489.4	745.3	69.0	1600.0
39.732	39.861	404.4	795.6	133.2	1600.0
39.921	40.001	402.9	795.4	119.4	95.5
40.051	40.211	218.8	1600.0	316.4	181.0
40.301	40.411	241.3	1600.0	296.0	235.0
40.431	40.571	175.7	1600.0	404.1	149.5
40.701	40.801	120.4	1600.0	997.0	514.5
41.001	41.251	61.3	1600.0	888.9	345.5
41.331	41.401	20.4	1600.0	864.0	344.8
41.421	41.53	0.0	1600.0	853.3	329.0
41.62	41.81	0.0	1600.0	705.5	197.1
42.08	42.28	0.0	1600.0	828.3	308.7
42.3	42.46	0.0	1600.0	845.2	293.5
42.48	42.59	45.4	1600.0	821.9	319.1
42.82	42.9	0.0	1600.0	616.5	217.6
42.97	43.14	65.5	1600.0	593.9	386.0
43.22	43.349	123.4	1600.0	661.3	462.4
43.359	43.459	116.8	1600.0	597.9	390.9
43.479	43.619	87.2	1600.0	623.4	357.8
43.649	43.739	0.0	1600.0	810.0	393.1
43.779	43.849	0.0	1600.0	789.1	359.7
43.949	44.059	0.0	1600.0	624.0	174.7
44.079	44.159	0.0	1600.0	668.1	127.9
44.179	44.429	0.0	1600.0	703.8	1600.0
44.489	44.719	0.0	1600.0	634.7	1600.0
44.739	44.978	51.1	1600.0	725.2	1600.0
44.998	45.128	23.0	1600.0	712.6	1600.0
45.168	45.808	445.9	757.0	122.5	1600.0
46.148	46.368	873.5	370.3	34.0	1600.0
46.388	46.627	873.9	352.9	34.5	1600.0
46.667	46.867	707.7	531.2	0.0	1600.0
46.937	47.397	1600.0	532.5	0.0	1600.0
47.417	47.577	780.9	518.7	0.0	1600.0
47.647	47.747	1600.0	481.5	0.0	1600.0
47.787	47.967	1600.0	318.9	38.8	1600.0
47.987	48.067	1600.0	219.3	142.4	1600.0
48.127	48.326	1600.0	178.2	196.8	1600.0
48.346	48.456	1600.0	154.7	229.1	1600.0
48.476	48.676	1600.0	163.6	210.8	1600.0
48.766	48.976	1600.0	116.0	269.9	1600.0
49.046	49.286	1600.0	246.4	154.4	252.2
49.376	49.496	1600.0	876.0	0.0	552.5
49.636	49.726	1600.0	331.0	100.8	312.1
49.746	49.916	1600.0	313.0	75.0	332.4
50.045	50.235	1600.0	19.4	684.5	1600.0
50.315	50.425	1600.0	15.6	707.1	1600.0
50.505	50.585	1600.0	0.0	601.5	1600.0
50.605	50.705	1600.0	0.0	623.2	1600.0
50.765	50.835	1600.0	49.2	931.0	1600.0
50.885	51.035	1600.0	0.0	864.6	1600.0
51.055	51.395	1600.0	16.3	785.8	76.9
51.535	51.615	1600.0	0.0	1101.6	1600.0
51.834	52.044	1600.0	0.0	694.5	41.4
52.064	52.364	1600.0	0.0	632.0	80.9
52.384	52.614	584.2	655.9	21.0	1600.0
52.634	52.744	254.0	1600.0	280.7	1600.0
52.764	52.854	209.1	1600.0	337.8	276.6
52.914	52.984	211.6	1600.0	369.1	249.8
53.354	53.423	51.0	1600.0	988.8	405.1
53.463	53.583	1.0	1600.0	873.1	299.4
53.623	53.963	39.1	1600.0	857.5	1600.0
53.993	54.093	13.6	1600.0	829.0	1600.0
54.133	54.333	25.0	1600.0	760.3	1600.0
54.433	54.513	21.0	1600.0	689.0	1600.0
54.533	54.643	37.9	1600.0	670.1	0.0
54.683	54.763	21.0	1600.0	665.0	0.0
54.873	55.082	0.0	1600.0	756.6	155.6
55.102	55.182	0.0	1600.0	785.1	158.4
55.192	55.332	0.0	1600.0	845.0	228.8
55.402	55.642	0.0	1600.0	804.1	194.7
55.662	55.782	0.0	1600.0	878.5	234.5
55.972	56.062	2.2	1600.0	808.5	1600.0
56.252	56.342	0.0	1600.0	605.9	1600.0
56.382	56.612	340.4	787.8	208.8	1600.0
56.682	56.901	522.6	595.5	38.5	1600.0
56.921	57.001	485.3	643.9	84.1	1600.0
57.481	57.571	1600.0	162.6	197.1	1600.0
57.631	57.731	1600.0	0.0	489.8	1600.0
57.861	57.951	1600.0	0.0	684.2	1600.0
58.031	58.171	1600.0	0.0	677.1	1600.0
58.401	58.54	1600.0	62.6	1054.5	1600.0
58.58	58.73	1600.0	0.0	693.4	1600.0
58.75	58.85	1600.0	47.0	316.3	1600.0
58.9	59.13	1073.0	193.2	164.9	1600.0
59.58	59.73	340.3	852.6	192.0	1600.0
59.82	60.349	13.5	1600.0	554.3	1600.0
60.569	60.659	126.5	1600.0	940.6	400.0
60.829	60.949	78.5	1600.0	776.8	303.4
60.969	61.109	0.0	1600.0	753.8	308.1
61.129	61.349	0.0	1600.0	707.8	1600.0
61.379	61.719	0.0	1600.0	746.0	159.7
61.739	61.828	0.0	1600.0	648.9	92.4
61.848	61.958	0.0	1600.0	628.0	88.1
61.998	62.098	0.0	1600.0	725.2	148.1
62.138	62.248	33.0	1600.0	637.0	40.5
62.288	62.378	12.0	1600.0	624.0	42.2
62.538	62.718	0.0	1600.0	712.5	159.8
62.738	62.928	0.0	1600.0	673.2	1600.0
62.948	63.048	0.0	1600.0	692.0	1600.0
63.118	63.348	0.0	1600.0	735.0	1600.0
63.418	63.597	0.0	1600.0	544.0	1600.0
63.647	63.727	49.0	1600.0	435.8	1600.0
63.747	63.877	233.0	884.2	256.0	1600.0
63.897	64.297	451.0	635.0	67.0	1600.0
64.317	64.427	448.6	695.5	101.0	1600.0
64.747	64.897	882.2	362.2	16.0	1600.0
65.037	65.167	875.1	388.3	5.0	1600.0
65.187	65.416	860.7	399.3	0.0	1600.0
65.466	65.676	849.2	415.4	0.0	1600.0
65.716	65.916	1600.0	509.0	0.0	1600.0
65.996	66.196	1600.0	550.6	0.0	1600.0
66.286	66.396	1600.0	555.8	0.0	1600.0
66.446	66.666	1600.0	634.7	0.0	1600.0
66.686	67.195	706.2	581.7	0.0	1600.0
67.255	67.615	1600.0	13.0	421.8	1600.0
67.635	67.745	1600.0	0.0	594.4	1600.0
67.905	67.975	1600.0	0.0	1183.4	1600.0
68.305	68.585	1600.0	0.0	746.0	1600.0
68.604	68.824	1600.0	0.0	729.2	1600.0
68.864	69.114	1600.0	36.7	790.5	0.0
69.154	69.564	1600.0	49.6	823.6	6.7
69.584	69.804	1600.0	74.5	574.1	105.0
69.864	70.094	495.6	820.6	65.5	511.6
70.154	70.383	243.0	1600.0	290.2	218.8
70.833	70.903	92.3	1600.0	916.2	604.5
70.963	71.063	119.7	1600.0	869.3	577.8
71.123	71.333	44.1	1600.0	804.4	439.5
71.403	71.523	0.0	1600.0	685.8	293.3
71.553	71.683	0.0	1600.0	648.5	178.3
71.703	71.793	0.0	1600.0	649.2	1600.0
71.833	71.933	0.0	1600.0	604.0	1600.0
71.953	72.042	0.0	1600.0	597.0	1600.0
72.102	72.182	0.0	1600.0	582.0	1600.0
72.212	72.362	102.4	1600.0	462.0	1600.0
72.402	72.472	52.0	1600.0	512.0	1600.0
72.512	72.632	55.0	1600.0	520.9	1600.0
72.732	72.932	88.0	1600.0	403.1	1600.0
72.952	73.062	302.0	852.0	193.3	1600.0
73.082	73.202	470.6	651.0	38.5	1600.0
73.222	73.342	548.1	578.8	0.0	1600.0
73.382	73.592	578.3	575.7	0.0	1600.0
73.931	74.031	945.7	333.1	34.5	1600.0
74.071	74.181	1600.0	325.6	37.7	1600.0
74.201	74.331	1600.0	316.7	96.5	1600.0
74.391	74.461	1600.0	174.6	248.2	1600.0
74.481	74.581	1600.0	85.1	343.8	1600.0
74.651	74.871	1600.0	14.9	450.0	1600.0
74.901	75.031	1600.0	61.3	415.7	1600.0
75.35	75.43	1600.0	0.0	1007.1	1600.0
75.49	75.56	1600.0	34.0	1203.5	1600.0
75.73	75.85	1600.0	23.3	1107.6	1600.0
75.87	75.96	1600.0	0.0	1054.9	1600.0
76.02	76.31	1600.0	52.4	1122.6	1600.0
76.32	76.49	1600.0	87.7	1600.0	124.7
