start_time	end_time	Block	Grid	IFU	Single Shape
0.305	1.204	1600.0	1600.0	868.1	1600.0
2.204	2.374	482.7	309.6	3.0	1600.0
2.394	3.743	580.3	487.0	0.0	1600.0
3.843	4.103	685.5	615.5	0.0	1600.0
4.113	5.102	710.2	612.7	0.0	1600.0
5.112	5.312	691.8	625.2	0.0	1600.0
5.322	5.592	641.3	691.7	0.0	1600.0
5.622	5.842	827.3	527.7	0.0	1600.0
5.852	6.171	782.5	607.6	0.0	1600.0
6.261	6.541	1600.0	0.0	644.6	1600.0
6.641	7.481	1600.0	160.3	575.2	1600.0
7.491	8.21	1600.0	97.1	320.1	0.0
8.49	8.65	0.0	1600.0	646.3	1600.0
8.67	9.0	0.0	1600.0	736.3	1600.0
9.02	9.24	0.0	1600.0	859.2	1600.0
9.26	9.479	0.0	1600.0	853.5	671.0
9.499	9.929	0.0	1600.0	869.7	520.6
9.979	10.719	172.8	1600.0	480.9	0.0
10.759	11.208	0.0	1600.0	1005.6	202.0
11.228	12.528	49.0	1600.0	1041.7	0.0
12.538	12.768	0.0	1600.0	895.5	1600.0
13.067	13.267	903.2	437.1	0.0	1600.0
13.287	13.487	975.3	489.3	0.0	1600.0
13.557	13.807	1600.0	0.0	535.4	1600.0
13.847	14.017	1600.0	0.0	869.7	1600.0
14.027	14.547	1600.0	0.0	1600.0	1600.0
14.796	15.016	1600.0	694.4	0.0	1600.0
15.046	15.196	817.4	621.7	0.0	1600.0
15.216	15.456	791.9	604.6	0.0	1600.0
15.496	15.666	1022.9	379.8	106.9	1600.0
15.686	15.826	649.2	727.2	36.7	0.0
16.036	16.216	0.0	1600.0	755.3	443.5
16.226	16.365	0.0	1600.0	839.0	396.7
16.405	16.605	0.0	1600.0	862.7	482.9
16.635	16.745	0.0	1600.0	782.5	441.3
16.775	16.885	0.0	1600.0	886.3	506.2
16.935	17.135	0.0	1600.0	642.0	265.7
17.215	17.315	0.0	1600.0	632.7	245.1
17.325	17.605	0.0	1600.0	657.0	183.9
17.635	17.705	0.0	1600.0	650.2	233.9
17.715	17.865	0.0	1600.0	684.1	245.1
17.955	18.084	0.0	1600.0	728.9	301.9
18.104	18.384	0.0	1600.0	683.6	220.0
18.404	18.694	0.0	1600.0	758.2	255.4
18.734	19.743	90.2	1600.0	641.6	0.0
19.783	21.353	35.1	1600.0	867.2	1600.0
21.572	21.712	842.4	526.6	0.0	1600.0
21.732	21.862	909.1	510.5	0.0	1600.0
21.912	22.002	934.5	517.4	0.0	1600.0
22.012	22.262	931.7	568.0	0.0	1600.0
22.292	22.542	1600.0	678.9	0.0	1600.0
22.572	23.122	1600.0	543.8	0.0	1600.0
23.142	23.501	777.0	638.7	0.0	1600.0
23.521	23.881	1600.0	579.5	0.0	1600.0
23.911	24.161	1600.0	683.5	0.0	1600.0
24.211	24.411	1600.0	615.8	1.0	1600.0
24.451	24.581	1600.0	667.7	0.0	1600.0
24.601	24.751	1600.0	603.5	0.0	1600.0
24.98	25.71	1600.0	0.0	931.2	1600.0
25.82	26.0	1600.0	593.0	0.0	814.1
26.01	26.19	1600.0	674.0	0.0	1600.0
26.28	26.44	1600.0	235.7	261.4	2.0
26.5	26.849	881.0	587.0	46.2	0.0
27.049	27.419	0.0	1600.0	836.5	462.5
27.529	27.739	0.0	1600.0	880.6	448.2
27.759	27.919	0.0	1600.0	873.4	528.6
27.969	28.039	0.0	1600.0	751.7	235.6
28.089	28.358	0.0	1600.0	765.7	225.3
28.378	28.708	0.0	1600.0	758.6	276.4
28.738	29.368	0.0	1600.0	749.9	289.4
29.598	29.908	0.0	1600.0	767.4	340.9
29.948	30.377	0.0	1600.0	880.2	318.2
30.417	30.587	0.0	1600.0	811.7	368.5
30.707	30.777	0.0	1600.0	776.3	313.1
30.817	31.327	0.0	1600.0	776.8	245.1
31.357	31.627	0.0	1600.0	790.2	337.7
31.657	31.886	0.0	1600.0	900.0	458.1
31.906	32.246	0.0	1600.0	976.0	523.2
32.436	32.616	0.0	1600.0	743.3	221.8
32.636	32.736	0.0	1600.0	730.2	191.7
32.756	32.866	0.0	1600.0	713.3	171.2
32.886	33.306	0.0	1600.0	725.7	253.1
33.346	33.545	92.3	1600.0	552.4	0.0
33.555	33.725	146.7	1600.0	494.4	0.0
33.765	33.845	144.4	1600.0	495.1	0.0
34.005	34.095	0.0	1600.0	756.0	125.3
34.135	34.395	0.0	1600.0	746.2	51.9
34.415	34.495	27.6	1600.0	700.3	0.0
34.535	34.925	60.4	1600.0	693.1	0.0
34.935	35.734	46.0	1600.0	746.2	1600.0
36.074	36.214	876.0	522.4	0.0	1600.0
36.234	36.414	907.0	569.3	0.0	1600.0
36.574	36.734	1600.0	513.1	0.0	1600.0
36.804	37.093	1600.0	0.0	549.8	1600.0
37.293	37.423	1600.0	0.0	583.3	1600.0
37.473	37.643	1600.0	0.0	907.1	1600.0
37.703	37.923	1600.0	0.0	782.8	1600.0
37.963	38.253	1600.0	17.5	604.7	1600.0
38.433	38.912	1600.0	47.7	531.3	0.0
38.982	39.112	1600.0	614.0	0.0	583.6
39.152	39.352	754.2	699.4	0.0	408.1
39.382	39.472	874.3	574.0	0.0	101.5
39.832	39.932	817.1	600.0	0.0	80.4
39.942	40.082	750.6	705.5	0.0	1600.0
40.291	40.421	0.0	1600.0	731.5	535.1
