start_time	end_time	Block	Grid	IFU	Single Shape
0.315	0.535	1600.0	1600.0	434.9	1600.0
0.555	1.044	1600.0	1600.0	566.6	1600.0
2.354	2.494	0.0	950.3	459.2	1600.0
2.723	2.813	703.7	314.6	0.0	1600.0
2.833	2.923	732.8	327.3	0.0	1600.0
2.963	3.213	772.3	412.4	0.0	1600.0
3.253	3.433	863.4	413.6	0.0	1600.0
3.503	3.653	762.1	512.2	0.0	1600.0
3.713	3.813	799.2	553.4	57.0	1600.0
3.833	4.063	771.8	531.1	19.6	1600.0
4.133	4.642	771.9	578.1	0.0	1600.0
4.662	4.942	786.7	764.2	0.0	1600.0
4.962	5.182	823.3	692.4	0.0	1600.0
5.242	5.612	908.9	581.9	0.0	1600.0
5.632	5.732	915.2	583.3	0.0	1600.0
5.752	6.351	814.8	572.1	0.0	1600.0
6.451	6.881	979.0	367.0	0.0	1600.0
6.901	7.111	927.0	439.7	0.0	1600.0
7.401	7.631	1011.4	377.4	0.0	1600.0
7.701	7.89	1600.0	0.0	755.6	1600.0
7.9	8.0	1600.0	0.0	840.8	1600.0
8.01	8.08	1600.0	0.0	799.8	1600.0
8.12	8.19	1600.0	0.0	869.5	1600.0
8.23	8.3	1600.0	0.0	847.0	1600.0
8.4	8.52	1600.0	0.0	917.3	1600.0
8.76	8.83	1600.0	0.0	1102.0	1600.0
8.93	9.1	1600.0	0.0	995.3	1600.0
9.24	9.34	1600.0	0.0	865.0	1600.0
9.649	9.819	1600.0	0.0	729.0	1600.0
9.919	10.059	1600.0	0.0	369.5	1600.0
10.169	10.239	1600.0	0.0	482.7	1600.0
10.469	10.729	803.6	588.3	0.0	1600.0
10.749	11.358	935.9	468.7	0.0	1600.0
11.478	11.618	1600.0	0.0	762.9	1600.0
11.888	11.998	1600.0	565.3	0.0	1600.0
12.138	12.548	878.3	524.1	0.0	1600.0
12.578	12.658	953.0	500.7	0.0	1600.0
12.738	13.097	954.8	472.2	0.0	1600.0
13.137	13.217	962.1	464.0	0.0	1600.0
13.237	13.357	957.5	459.0	0.0	1600.0
13.397	13.897	964.0	472.0	0.0	1600.0
14.017	14.117	1600.0	0.0	846.0	1600.0
14.367	14.467	1600.0	0.0	984.0	1600.0
14.487	14.597	1600.0	125.9	1098.1	1600.0
14.686	14.946	1600.0	15.0	1089.1	1600.0
14.986	15.126	1600.0	0.0	857.4	1600.0
15.266	15.526	1600.0	0.0	967.6	1600.0
15.596	16.076	1600.0	15.2	1003.8	1600.0
16.236	16.415	1600.0	0.0	868.0	1600.0
16.655	16.875	1600.0	574.3	0.0	1600.0
16.935	17.105	1600.0	240.8	156.3	1600.0
17.305	17.565	1600.0	24.0	1114.4	1600.0
17.635	17.805	1600.0	0.0	834.7	1600.0
18.134	18.284	1600.0	675.7	0.0	1600.0
18.304	18.514	1600.0	589.4	0.0	1600.0
18.534	19.644	1600.0	585.8	0.0	1600.0
19.664	19.764	1600.0	359.7	29.2	1600.0
20.063	20.213	1600.0	119.6	1153.0	1600.0
20.353	20.593	1600.0	121.5	1197.1	1600.0
20.683	20.833	1600.0	142.8	1152.1	43.0
21.143	21.213	1600.0	145.1	1116.8	1600.0
21.313	21.493	1600.0	236.3	1196.8	1600.0
21.503	21.712	1600.0	227.1	1194.7	1600.0
21.732	21.842	1600.0	237.1	1211.5	1600.0
21.882	22.122	1600.0	170.9	1118.4	20.6
22.162	22.272	1600.0	140.9	1073.7	1600.0
22.312	22.432	1600.0	103.8	1048.4	0.0
22.442	22.532	1600.0	122.1	1057.8	0.0
22.552	22.832	1600.0	189.6	1099.4	44.4
22.882	22.982	1600.0	128.1	1048.9	0.0
23.002	23.092	1600.0	102.8	1043.1	4.1
23.102	23.401	1600.0	158.6	1102.6	0.0
23.421	23.611	1600.0	167.3	1120.2	0.0
23.701	23.811	1600.0	180.6	1131.9	0.0
23.851	24.101	1600.0	204.1	1145.3	56.7
24.151	24.231	1600.0	44.6	945.9	56.8
24.251	24.391	1600.0	1.0	735.5	1600.0
24.681	24.781	1600.0	633.4	0.0	1600.0
24.801	24.911	1600.0	605.3	0.0	1600.0
25.27	25.61	1600.0	620.4	0.0	1600.0
25.64	26.11	1600.0	482.1	0.0	1600.0
26.24	26.49	1600.0	547.9	0.0	1600.0
26.52	26.69	1600.0	533.5	0.0	1050.1
26.979	27.069	1600.0	222.0	1400.1	1600.0
27.119	27.359	1600.0	27.0	1215.4	1600.0
27.679	27.939	1600.0	500.4	437.0	1.0
28.219	28.329	1600.0	148.0	1317.1	1600.0
28.498	28.618	1600.0	38.4	1174.8	1600.0
29.208	29.298	18.4	1303.9	601.9	749.6
29.718	29.798	913.4	551.7	375.3	0.0
29.888	30.058	857.9	511.2	0.0	455.2
30.148	30.277	786.0	593.0	0.0	466.7
30.297	30.537	820.9	555.0	0.0	452.9
30.597	30.997	885.0	487.1	0.0	437.5
31.167	31.257	875.0	532.6	260.6	4.1
31.297	31.397	890.0	522.2	267.2	8.0
31.507	31.787	820.7	517.3	0.0	426.1
32.176	32.586	0.0	1600.0	794.6	1005.1
32.686	32.926	0.0	1600.0	748.1	744.9
32.966	33.106	15.6	1600.0	872.0	521.8
33.256	33.356	0.0	1600.0	793.0	173.4
33.386	33.635	61.5	1600.0	545.3	27.7
33.665	34.735	0.0	1600.0	649.6	1600.0
34.755	35.035	18.4	1600.0	624.8	1600.0
35.055	35.135	0.0	1600.0	633.1	1600.0
35.155	35.544	0.0	1600.0	632.4	1600.0
35.634	35.984	0.0	1600.0	619.1	1600.0
36.404	37.183	0.0	1600.0	627.8	1600.0
37.203	37.333	0.0	1600.0	646.1	1600.0
37.353	37.443	0.0	1600.0	658.1	1600.0
37.483	37.553	0.0	1600.0	677.2	1600.0
37.613	37.713	68.2	1134.0	458.3	1600.0
37.973	38.043	898.4	226.4	103.6	1600.0
38.073	38.163	676.5	448.3	0.0	1600.0
38.183	38.563	634.6	528.0	0.0	1600.0
38.912	39.032	0.0	1600.0	710.1	1600.0
39.272	39.382	38.9	1600.0	758.7	1600.0
39.402	39.512	28.3	1600.0	723.9	1600.0
39.532	39.902	0.0	1600.0	724.6	1600.0
39.952	40.132	0.0	1268.8	597.0	1600.0
40.521	40.711	662.8	463.5	0.0	1600.0
40.751	40.881	588.5	551.1	0.0	1600.0
40.901	41.331	565.1	566.0	0.0	1600.0
41.711	41.901	740.2	385.6	0.0	1600.0
42.181	42.27	365.5	1600.0	147.0	1600.0
42.48	42.61	0.0	1600.0	762.9	1600.0
42.63	42.74	36.1	1600.0	739.4	1600.0
43.01	43.16	5.4	1600.0	829.1	1600.0
43.18	43.38	0.0	1600.0	808.6	1600.0
43.45	43.56	0.0	1600.0	765.4	1600.0
43.58	43.7	0.0	1600.0	668.7	1600.0
43.72	43.8	0.0	1600.0	552.7	174.2
43.88	43.979	193.7	1600.0	415.4	35.1
43.999	44.089	297.0	1600.0	283.3	67.1
44.189	44.379	442.0	788.8	127.7	11.3
44.399	44.659	346.4	813.7	159.0	18.7
