start_time	end_time	Block	Grid	IFU	Single Shape
0.615	0.735	1600.0	274.5	942.3	1600.0
1.374	1.504	1600.0	700.8	122.3	1600.0
1.554	1.734	1600.0	425.2	35.2	1600.0
1.864	2.074	1600.0	496.1	0.0	1600.0
2.174	2.484	1600.0	427.9	0.0	1600.0
2.514	3.013	1600.0	440.9	0.0	1600.0
3.063	3.833	1600.0	445.0	0.0	1600.0
3.863	4.702	1600.0	543.9	0.0	1600.0
4.732	4.882	1600.0	20.0	378.6	1600.0
5.052	5.172	1600.0	0.0	1063.8	1600.0
5.202	5.432	1600.0	0.0	1600.0	1600.0
5.512	5.672	1600.0	74.7	1600.0	1600.0
5.722	5.852	1600.0	0.0	1600.0	40.0
5.872	6.041	1600.0	0.0	1600.0	45.3
6.081	6.731	1600.0	0.0	779.4	238.9
6.841	7.131	1600.0	0.0	550.0	87.8
7.411	7.75	1600.0	572.9	0.0	225.1
7.84	8.27	1054.5	479.3	60.6	0.0
8.3	8.41	1600.0	655.3	45.0	0.0
8.45	8.63	1600.0	638.4	34.9	0.0
8.66	8.89	1600.0	367.8	0.0	17.0
8.91	9.409	1600.0	354.2	94.0	246.0
9.529	9.889	981.5	647.1	152.3	7.1
9.939	10.009	738.8	714.6	68.0	228.7
10.049	10.129	838.3	827.8	179.8	0.0
10.149	10.259	761.8	901.4	245.4	0.0
10.959	11.158	987.7	535.3	0.0	361.9
11.168	11.238	978.5	517.8	0.0	377.5
11.988	12.158	0.0	1600.0	1047.5	359.9
12.178	12.448	0.0	1600.0	887.1	269.4
12.488	12.638	277.4	1600.0	537.5	112.5
12.678	12.907	0.0	1600.0	796.8	257.3
12.917	13.047	0.0	1600.0	804.8	217.9
13.077	13.327	0.0	1600.0	1012.8	335.9
13.347	13.547	0.0	1600.0	1081.8	430.6
13.577	13.767	0.0	1600.0	1122.5	568.2
13.957	14.287	154.9	1600.0	831.4	550.6
14.467	15.116	0.0	1600.0	911.5	411.8
15.166	15.246	0.0	1600.0	976.6	342.7
15.486	15.756	0.0	1600.0	856.9	361.7
16.305	16.585	1600.0	650.5	50.5	1600.0
16.945	17.075	1600.0	0.0	486.8	1600.0
17.875	17.994	801.9	669.3	0.0	1600.0
18.004	18.404	791.7	609.8	0.0	1600.0
18.434	19.164	1600.0	296.6	49.2	1600.0
19.294	19.464	1600.0	0.0	821.4	1600.0
19.564	19.653	1600.0	0.0	775.4	1600.0
19.673	19.863	1600.0	0.0	700.1	1600.0
19.893	20.063	1600.0	0.0	673.6	1600.0
20.083	20.363	1600.0	104.5	241.0	1600.0
20.393	20.523	1600.0	154.4	195.5	1600.0
20.683	21.912	1600.0	460.9	0.0	1600.0
22.142	22.252	1600.0	0.0	575.8	1600.0
22.272	22.462	1600.0	0.0	569.1	1600.0
22.752	23.761	1600.0	485.0	0.0	1600.0
23.781	24.051	1600.0	464.8	0.0	1600.0
24.081	24.321	1600.0	609.4	0.0	1600.0
24.361	24.541	1600.0	568.1	0.0	1600.0
24.551	24.681	1600.0	590.6	0.0	1600.0
24.701	24.9	1600.0	437.6	12.0	1600.0
24.93	25.08	1600.0	284.0	76.9	1600.0
25.16	25.36	1600.0	0.0	934.0	1600.0
25.39	25.61	1600.0	0.0	972.6	1600.0
25.63	25.79	1600.0	0.0	904.4	1600.0
25.81	26.13	1600.0	0.0	945.7	1600.0
26.15	26.42	1600.0	0.0	463.1	1600.0
26.719	28.648	1600.0	519.5	0.0	1600.0
28.658	29.838	1600.0	836.0	0.0	1600.0
29.857	30.647	1600.0	821.8	0.0	1600.0
30.657	34.065	1600.0	332.6	35.8	1600.0
34.165	34.245	1600.0	193.8	165.5	1600.0
34.475	34.695	1600.0	0.0	852.1	1600.0
34.735	34.984	1600.0	0.0	692.3	1600.0
35.024	35.284	1600.0	0.0	737.4	1600.0
35.324	35.544	1600.0	0.0	838.8	1600.0
35.654	35.914	1600.0	26.0	830.2	1600.0
35.934	36.324	1600.0	85.7	842.2	8.2
36.494	36.634	1600.0	0.0	564.4	498.7
36.654	36.753	1600.0	0.0	400.7	380.1
36.783	36.993	1600.0	177.5	164.2	1600.0
37.033	37.133	1600.0	308.7	35.4	400.3
37.263	37.493	1600.0	420.5	0.0	231.8
37.513	37.623	1600.0	490.2	0.0	157.8
37.713	37.923	1600.0	106.9	225.4	223.0
37.973	38.333	1600.0	585.1	0.0	135.4
38.363	38.552	1600.0	510.6	111.0	39.1
38.582	38.862	1600.0	376.0	100.1	0.0
38.902	39.252	1600.0	503.5	0.0	169.0
39.282	40.381	1600.0	476.1	71.2	11.4
40.621	40.881	1600.0	552.2	0.0	152.4
40.921	41.161	1600.0	439.3	93.4	51.0
41.171	41.341	732.5	795.7	29.0	36.5
41.461	41.531	306.5	1600.0	399.9	105.8
41.8	42.02	0.0	1600.0	860.8	1600.0
42.04	42.64	31.2	1600.0	688.7	1600.0
43.11	43.19	1600.0	0.0	594.6	145.3
43.21	43.38	1600.0	11.0	327.0	396.5
43.609	43.689	1600.0	585.1	19.2	1600.0
43.719	44.079	1600.0	571.9	0.0	1600.0
44.179	44.559	1600.0	367.9	0.0	1600.0
44.659	44.879	1600.0	429.0	0.0	1600.0
44.919	45.109	1600.0	435.6	0.0	1600.0
45.179	45.318	1600.0	448.3	0.0	1600.0
45.328	45.578	1600.0	509.5	0.0	1600.0
45.658	45.758	1600.0	411.4	0.0	1600.0
45.818	46.368	1600.0	133.0	209.1	1600.0
46.518	46.748	1600.0	10.2	833.3	1600.0
46.768	47.227	1600.0	19.1	767.2	1600.0
47.257	47.407	1600.0	0.0	817.2	1600.0
47.427	47.577	1600.0	0.0	782.6	739.4
47.607	47.717	1600.0	0.0	689.2	791.2
47.757	47.897	1600.0	0.0	723.0	933.9
47.987	48.077	1600.0	135.5	206.0	414.3
48.097	48.237	1600.0	76.9	242.6	1600.0
48.507	48.736	1600.0	587.6	0.0	276.8
48.766	49.086	1600.0	584.0	35.0	107.0
49.256	49.446	1600.0	527.3	0.0	162.8
49.476	49.876	1600.0	429.1	23.0	9.0
49.896	50.056	1600.0	531.4	22.8	0.0
50.126	50.545	1600.0	506.7	0.0	204.0
50.585	51.085	1600.0	426.9	55.9	0.0
51.105	51.375	1600.0	522.9	0.0	33.5
51.485	51.585	1600.0	400.1	21.6	126.1
51.625	51.725	1600.0	406.0	32.4	28.4
51.755	51.835	1600.0	565.6	0.0	35.5
51.895	52.204	739.8	651.1	2.0	212.3
52.234	52.574	495.5	1600.0	193.1	191.1
52.704	52.864	29.7	1600.0	1229.8	514.8
52.884	53.084	88.6	1600.0	1274.1	523.2
53.114	53.194	217.6	1600.0	1354.2	673.2
53.214	53.454	78.3	1600.0	1600.0	557.6
53.474	53.614	0.0	1600.0	1600.0	450.3
53.664	54.023	0.0	1600.0	1600.0	310.5
54.033	54.283	0.0	1600.0	907.3	1600.0
54.373	55.462	21.0	1600.0	677.8	199.6
55.842	56.032	1600.0	0.0	530.3	1600.0
56.152	56.242	1080.2	187.0	155.3	1600.0
56.392	56.682	868.8	537.4	0.0	1600.0
56.702	56.812	888.2	557.0	0.0	1600.0
57.361	57.691	1600.0	0.0	429.6	1600.0
57.921	58.121	1600.0	0.0	900.2	1600.0
58.321	58.671	1600.0	0.0	878.9	1600.0
58.701	58.89	1600.0	0.0	683.5	1600.0
58.91	59.09	1600.0	0.0	729.2	1600.0
59.11	59.34	1600.0	0.0	821.0	1600.0
59.37	59.53	1600.0	0.0	932.5	1600.0
59.57	59.74	1600.0	0.0	837.5	1600.0
59.76	59.92	1600.0	119.2	726.2	65.8
59.95	60.12	1600.0	203.6	277.4	359.9
60.14	60.34	1600.0	300.8	179.8	1600.0
60.46	60.529	1600.0	722.6	40.0	1600.0
60.609	61.079	1600.0	607.8	0.0	1600.0
61.149	61.319	1600.0	479.9	0.0	63.6
61.339	61.549	899.1	559.5	0.0	76.0
61.579	61.859	1042.0	466.0	89.9	0.0
61.929	62.049	906.5	622.1	50.2	0.0
62.109	62.358	987.3	507.0	47.9	0.0
62.428	62.588	870.5	661.9	57.6	3.0
62.618	63.098	981.7	529.0	48.4	0.0
63.138	63.418	864.7	508.0	0.0	152.5
63.438	63.947	628.3	680.5	1.0	201.7
64.147	64.457	0.0	1600.0	1022.5	456.1
64.617	64.707	118.1	1600.0	1115.4	1600.0
64.737	64.877	1.0	1600.0	1062.3	1600.0
64.897	64.977	104.7	1600.0	1600.0	1600.0
65.017	65.107	85.0	1600.0	1600.0	1600.0
65.117	65.317	169.0	1600.0	1600.0	1600.0
65.327	65.477	227.8	1600.0	1600.0	1600.0
65.507	65.866	3.6	1600.0	1600.0	1600.0
65.876	66.056	0.0	1600.0	1600.0	1600.0
66.086	66.226	0.0	1600.0	1600.0	1600.0
66.256	66.636	0.0	1600.0	1600.0	1600.0
66.666	66.956	61.7	1600.0	1600.0	1600.0
67.136	67.375	250.0	1600.0	386.4	1600.0
67.385	67.645	78.0	1600.0	532.2	1600.0
67.665	67.825	0.0	1600.0	658.2	1600.0
67.835	68.165	0.0	1600.0	720.3	1600.0
68.185	68.385	0.0	1201.0	598.7	1600.0
68.395	68.715	1600.0	382.6	84.5	1600.0
69.015	69.254	1600.0	0.0	720.2	319.8
69.294	69.784	1600.0	82.0	253.5	1600.0
69.874	69.944	661.8	705.7	19.8	1600.0
70.144	70.224	783.6	500.8	0.0	1600.0
70.644	70.823	794.1	458.3	0.0	1600.0
71.123	71.223	798.5	441.2	0.0	1600.0
71.243	71.383	746.9	539.0	0.0	1600.0
71.603	71.703	778.1	447.2	0.0	1600.0
71.743	72.682	777.4	497.8	0.0	1600.0
72.702	73.162	1600.0	33.0	314.1	1600.0
73.322	73.642	1600.0	0.0	493.9	1600.0
73.682	73.812	1600.0	280.3	113.7	1600.0
73.872	75.111	622.8	943.1	0.0	321.3
75.131	75.451	673.6	566.0	0.0	230.5
75.491	75.771	838.0	525.0	23.4	0.0
75.791	76.13	875.6	478.0	28.6	98.0
76.17	77.0	685.7	691.5	12.0	195.0
77.04	77.24	884.1	441.3	43.0	0.0
77.28	78.009	664.0	732.0	51.7	207.0
78.049	78.269	1600.0	594.6	101.5	312.0
78.459	78.769	1095.4	475.4	253.7	721.6
78.829	78.989	608.7	575.2	0.0	212.1
78.999	79.189	603.5	683.2	5.0	174.6
79.209	79.808	803.2	449.0	0.0	307.4
79.838	80.028	425.7	1600.0	167.0	80.7
80.258	80.398	0.0	1600.0	807.7	381.5
80.408	80.548	0.0	1600.0	874.6	389.2
