Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
854	964	110	1039.0	676.0
1014	1344	330	826.0	625.0
1374	1734	360	854.0	724.0
1764	2164	400	900.0	663.0
2613	3063	450	930.0	748.0
3363	3823	460	963.0	627.0
3843	4273	430	883.0	636.0
4293	4662	370	992.0	650.0
4682	5622	939	908.0	717.0
5762	6022	260	1363.0	350.0
6042	6171	130	1151.0	282.0
6211	6401	190	1210.0	432.0
6411	6791	380	1130.0	438.0
6841	7041	200	829.0	298.0
7071	7501	430	1027.0	257.0
7541	8090	550	1152.0	331.0
8230	8580	350	1106.0	386.0
8880	9070	190	765.0	485.0
9090	9250	160	706.0	484.0
9579	10659	1079	1073.0	386.0
10699	12058	1359	1058.0	343.0
12348	12528	180	564.0	756.0
12648	12848	200	929.0	580.0
12858	13137	280	940.0	557.0
13437	14187	750	866.0	464.0
14197	14547	350	903.0	536.0
14567	15536	969	933.0	543.0
15556	16346	790	893.0	584.0
16625	16745	120	1268.0	740.0
16765	17125	360	1040.0	778.0
17135	17735	600	950.0	677.0
17945	18105	160	1165.0	208.0
18125	18334	210	1087.0	205.0
18344	18484	140	1018.0	239.0
18504	18734	230	878.0	212.0
18774	18904	130	1070.0	385.0
18924	18994	70	1043.0	388.0
19014	19254	240	1095.0	449.0
19294	19434	140	1251.0	486.0
19464	19614	150	1135.0	570.0
19644	19764	120	1163.0	445.0
19814	20323	510	935.0	336.0
20573	21702	1129	825.0	684.0
21722	21992	270	769.0	589.0
22322	22432	110	1046.0	135.0
22462	22542	80	820.0	253.0
22592	23012	420	1098.0	246.0
23052	23252	200	938.0	504.0
23272	23401	130	837.0	531.0
23911	24241	330	746.0	514.0
24351	24681	330	731.0	685.0
24771	24981	210	1212.0	536.0
25100	25380	280	789.0	659.0
25410	25550	140	1021.0	678.0
25810	26020	210	526.0	201.0
26050	26140	90	791.0	236.0
26170	26570	400	845.0	432.0
26590	27299	710	945.0	521.0
27309	27499	190	904.0	587.0
27509	27829	320	888.0	632.0
27839	28149	310	882.0	578.0
28529	28698	170	1090.0	750.0
28718	29068	350	907.0	788.0
29108	29218	110	877.0	512.0
29238	29588	350	945.0	468.0
29618	29878	260	912.0	603.0
29888	30038	150	885.0	640.0
30078	30248	170	920.0	429.0
30287	30517	230	965.0	710.0
30547	30687	140	839.0	688.0
30717	31897	1179	890.0	599.0
31917	32126	210	821.0	652.0
32446	32606	160	1187.0	381.0
32636	33016	380	991.0	306.0
33316	33995	680	818.0	477.0
34345	34575	230	1000.0	340.0
34605	34745	140	824.0	268.0
34765	34935	170	900.0	350.0
34955	35485	530	970.0	265.0
35624	36294	670	772.0	504.0
36314	36494	180	729.0	502.0
36754	37693	939	1231.0	371.0
37703	38143	440	1222.0	283.0
38183	38353	170	961.0	349.0
38373	38523	150	868.0	304.0
38543	38733	190	771.0	303.0
38753	39022	270	674.0	321.0
39052	39242	190	785.0	432.0
39272	39462	190	903.0	413.0
39512	39682	170	1147.0	427.0
39712	39892	180	1206.0	559.0
39902	40092	190	1235.0	602.0
40122	40402	280	1088.0	643.0
40422	40811	390	1117.0	449.0
40821	41271	450	1145.0	402.0
41591	41691	100	785.0	550.0
41701	41871	170	717.0	531.0
41881	42051	170	636.0	533.0
42271	42490	220	1200.0	443.0
42510	42890	380	1076.0	401.0
43190	43810	620	808.0	542.0
44030	44159	130	1182.0	417.0
44279	45049	770	785.0	518.0
45089	45299	210	1011.0	585.0
45349	45739	390	793.0	508.0
45789	45998	210	1100.0	640.0
46038	46418	380	995.0	496.0
46678	46998	320	599.0	98.0
47018	47168	150	613.0	185.0
47198	47468	270	749.0	378.0
47478	47627	150	745.0	322.0
47667	47997	330	973.0	358.0
48017	48177	160	1008.0	274.0
48217	48397	180	735.0	255.0
48427	48587	160	826.0	339.0
48627	48837	210	993.0	297.0
48857	49117	260	921.0	276.0
49147	49366	220	1007.0	186.0
49406	49756	350	853.0	331.0
49786	49896	110	686.0	459.0
49946	50216	270	926.0	316.0
50226	50416	190	932.0	445.0
50446	50646	200	1122.0	429.0
51365	51625	260	738.0	370.0
51675	52305	630	969.0	332.0
52665	52994	330	995.0	566.0
53024	53154	130	877.0	669.0
53174	53584	410	938.0	636.0
53704	53854	150	1401.0	411.0
53884	54274	390	1296.0	446.0
54324	54583	260	843.0	239.0
54603	54813	210	816.0	232.0
54833	55033	200	772.0	262.0
55063	55233	170	942.0	255.0
55303	55513	210	1089.0	799.0
55553	55683	130	1211.0	647.0
55723	55873	150	959.0	603.0
55903	56362	460	1101.0	528.0
56572	57162	590	870.0	599.0
57422	57622	200	1282.0	109.0
57652	57862	210	1120.0	243.0
58131	58311	180	754.0	605.0
58611	58711	100	1194.0	111.0
58731	59081	350	1076.0	183.0
59091	59371	280	1100.0	248.0
59561	59890	330	688.0	610.0
60090	60290	200	1264.0	154.0
60300	60640	340	1147.0	238.0
60820	60980	160	749.0	612.0
61110	61210	100	986.0	581.0
61639	61939	300	827.0	36.0
61989	62369	380	1033.0	385.0
62389	62509	120	961.0	464.0
62529	62749	220	973.0	430.0
62769	63388	620	860.0	453.0
63408	64008	600	872.0	418.0
64018	64358	340	902.0	458.0
64378	64478	100	880.0	452.0
64598	64897	300	931.0	441.0
65077	65147	70	1411.0	853.0
65157	65297	140	1308.0	827.0
65507	66097	590	721.0	460.0
66297	66626	330	1241.0	717.0
66656	66926	270	984.0	724.0
66956	67356	400	988.0	676.0
67386	68006	620	960.0	553.0
68026	68585	560	869.0	587.0
68605	68815	210	949.0	560.0
68845	69155	310	817.0	559.0
69335	69685	350	1106.0	327.0
69765	70054	290	655.0	562.0
70064	70594	530	816.0	504.0
70734	70914	180	1201.0	366.0
70924	71304	380	1037.0	372.0
71444	71604	160	721.0	232.0
71644	72023	380	1005.0	387.0
72193	72563	370	642.0	532.0
72793	72933	140	1192.0	337.0
72973	73153	180	1132.0	343.0
73433	73662	230	620.0	541.0
73692	74242	550	850.0	494.0
74262	74412	150	903.0	599.0
74462	74692	230	1188.0	453.0
75002	75092	90	702.0	231.0
75112	75271	160	739.0	309.0
75361	75561	200	852.0	271.0
75601	75881	280	812.0	484.0
75991	76061	70	1094.0	539.0
76261	76881	620	949.0	422.0
76931	77150	220	1236.0	358.0
77190	77340	150	1025.0	175.0
77380	77540	160	783.0	253.0
77560	77630	70	855.0	305.0
77800	78020	220	847.0	405.0
78050	78300	250	1003.0	417.0
78420	78769	350	1015.0	387.0
78779	79119	340	1037.0	462.0
79339	79509	170	900.0	336.0
79739	80129	390	996.0	332.0
80219	80309	90	1029.0	362.0
80488	80598	110	1216.0	458.0
80618	80748	130	1200.0	439.0
80788	80878	90	876.0	443.0
