event_type	start_time	end_time	duration	saccade_amplitude
Fixation	0	175	175	
Saccade	335	365	30	
Fixation	365	974	610	
Saccade	974	1024	50	11.71
Fixation	1024	1334	310	
Saccade	1334	1354	20	4.07
Fixation	1354	1994	640	
Saccade	1994	2084	90	
Saccade	2134	2204	70	
Saccade	2224	2254	30	
Saccade	2264	2294	30	
Saccade	2723	2743	20	
Fixation	2743	2843	100	
Saccade	2843	2853	10	
Saccade	2863	2893	30	
Fixation	2913	3033	120	
Saccade	3033	3133	100	
Saccade	3153	3173	20	
Fixation	3173	3243	70	
Saccade	3243	3253	10	
Saccade	3293	3313	20	
Saccade	3433	3463	30	
Fixation	3463	3733	270	
Saccade	3733	3803	70	
Saccade	3833	3853	20	
Saccade	3873	3893	20	
Fixation	3893	4093	200	
Saccade	4093	4123	30	8.22
Fixation	4123	4502	380	
Saccade	4502	4512	10	3.24
Fixation	4512	4822	310	
Saccade	4822	4842	20	5.4
Fixation	4842	5822	979	
Saccade	5822	5832	10	2.78
Fixation	5832	6022	190	
Saccade	6022	6041	20	4.53
Fixation	6041	6341	300	
Saccade	6341	6361	20	5.08
Fixation	6361	7081	720	
Saccade	7081	7111	30	6.77
Fixation	7111	7291	180	
Saccade	7291	7341	50	
Saccade	7351	7371	20	
Fixation	7371	8260	889	
Saccade	8260	8280	20	6.82
Fixation	8280	9180	899	
Saccade	9180	9210	30	5.48
Fixation	9210	9340	130	
Saccade	9340	9440	100	
Saccade	9449	9469	20	
Saccade	9519	9549	30	
Saccade	9589	9609	20	
Saccade	9649	9679	30	
Saccade	9709	9719	10	
Fixation	9719	10019	300	
Saccade	10019	10049	30	2.44
Fixation	10049	10689	640	
Saccade	10689	10719	30	9.21
Fixation	10719	10839	120	
Saccade	10839	10859	20	
Saccade	10879	10889	10	
Fixation	10889	11119	230	
Saccade	11119	11139	20	
Saccade	11168	11288	120	
Saccade	11308	11328	20	
Saccade	11338	11368	30	
Saccade	11388	11408	20	
Fixation	11408	12158	750	
Saccade	12168	12228	60	
Fixation	12228	12478	250	
Saccade	12478	12498	20	8.64
Fixation	12498	12828	330	
Saccade	12828	12947	120	
Saccade	12987	12997	10	
Fixation	12997	13267	270	
Saccade	13267	13297	30	
Saccade	13467	13507	40	
Saccade	13527	13537	10	
Saccade	13597	13607	10	
Fixation	13607	14147	540	
Saccade	14147	14177	30	3.72
Fixation	14177	14327	150	
Saccade	14327	14357	30	6.79
Fixation	14357	14527	170	
Saccade	14527	14557	30	3.86
Fixation	14557	14726	170	
Saccade	14726	14746	20	7.16
Fixation	14746	14876	130	
Saccade	14876	14906	30	5.65
Fixation	14906	15036	130	
Saccade	15036	15086	50	11.63
Fixation	15086	15346	260	
Saccade	15346	15366	20	4.68
Fixation	15366	15546	180	
Saccade	15546	15566	20	3.77
Fixation	15566	15766	200	
Saccade	15766	15796	30	6.54
Fixation	15796	15956	160	
Saccade	15956	15966	10	3.91
Fixation	15966	16126	160	
Saccade	16126	16166	40	9.91
Fixation	16166	16296	130	
Saccade	16296	16365	70	19.44
Fixation	16365	16685	320	
Saccade	16685	16705	20	4.38
Fixation	16705	16885	180	
Saccade	16885	16925	40	8.41
Fixation	16925	17085	160	
Saccade	17085	17115	30	6.64
Fixation	17115	18634	1519	
Saccade	18634	18654	20	
Saccade	18664	18694	30	
Fixation	18694	19823	1129	
Saccade	19823	19843	20	8.94
Fixation	19843	22112	2269	
Fixation	22162	23551	1389	
Saccade	23551	23571	20	4.92
Fixation	23571	23741	170	
Saccade	23741	23761	20	2.91
Fixation	23761	23971	210	
Saccade	23971	23991	20	5.41
Fixation	23991	24261	270	
Saccade	24261	24311	50	14.32
Fixation	24311	24501	190	
Saccade	24501	24511	10	3.91
Fixation	24511	24631	120	
Saccade	24631	24651	20	4.49
Fixation	24651	24841	190	
Saccade	24841	24861	20	4.68
Fixation	24861	25020	160	
Saccade	25020	25050	30	6.81
Fixation	25050	25190	140	
Saccade	25190	25240	50	12.87
Fixation	25240	25420	180	
Fixation	25440	25510	70	
Saccade	25510	25540	30	6.58
Fixation	25540	25680	140	
Saccade	25680	25740	60	15.06
Fixation	25740	26220	480	
Saccade	26220	26230	10	2.16
Fixation	26230	26310	80	
Saccade	26310	26330	20	4.55
Fixation	26330	26510	180	
Saccade	26510	26540	30	6.98
Fixation	26540	27019	480	
Saccade	27019	27039	20	4.8
Fixation	27039	27189	150	
Saccade	27259	27279	20	
Fixation	27279	28089	810	
Fixation	28109	28179	70	
Fixation	28199	28309	110	
Fixation	28328	29578	1249	
Fixation	29598	29678	80	
Fixation	29698	29808	110	
Fixation	29828	31117	1289	
Saccade	31157	31287	130	
Saccade	31297	31387	90	
Fixation	31387	31467	80	
Saccade	31467	31497	30	8.33
Fixation	31497	31697	200	
Saccade	31697	31707	10	3.57
Fixation	31707	31946	240	
Saccade	31946	32046	100	
Saccade	32066	32096	30	
Saccade	32106	32126	20	
