Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
265	285	20
295	315	20
325	345	20
395	435	40
605	655	50
745	825	80
845	865	20
885	894	10
924	944	20
1114	1124	10
1874	1894	20
1954	1974	20
1994	2014	20
2184	2204	20
2234	2254	20
2354	2364	10
2374	2394	20
2444	2494	50
4382	4402	20
4472	4512	40
4622	4652	30
4792	4832	40
4952	4962	10
5062	5072	10
5082	5102	20
5162	5272	110
5372	5402	30
5412	5432	20
5442	5492	50
5512	5532	20
6531	6581	50
6761	6791	30
6871	6891	20
6901	6981	80
7211	7321	110
7351	7361	10
8110	8120	10
9410	9499	90
9519	9599	80
9699	9759	60
10309	10319	10
10639	10659	20
10999	11029	30
11208	11268	60
11578	11598	20
12098	12118	20
12298	12308	10
13147	13157	10
13857	13867	10
14057	14087	30
14517	14527	10
14806	14826	20
14986	15016	30
15176	15186	10
15336	15366	30
16655	16725	70
16755	16775	20
16855	16875	20
17245	17325	80
17395	17415	20
17425	17445	20
17845	17875	30
18564	18644	80
18834	18854	20
20223	20293	70
20353	20363	10
20523	20543	20
20693	20723	30
22102	22162	60
22442	22452	10
23221	23331	110
23361	23371	10
23661	23681	20
23881	23921	40
23931	23971	40
23991	24021	30
24511	24581	70
24601	24621	20
24631	24691	60
24701	24761	60
25320	25340	20
26390	26400	10
27399	27409	10
27899	27919	20
30397	30477	80
30507	30517	10
30867	30887	20
31327	31347	20
31826	31856	30
32256	32276	20
32586	32606	20
33216	33336	120
33365	33375	10
33985	34075	90
34115	34135	20
34685	34775	90
34785	34795	10
34835	34885	50
35314	35384	70
35434	35444	10
36104	36124	20
36284	36304	20
36494	36524	30
37503	37513	10
37653	37683	30
37973	37993	20
38313	38363	50
38662	38672	10
39172	39202	30
41181	41281	100
41501	41511	10
41651	41731	80
41930	42000	70
42030	42050	20
42760	42770	10
43230	43290	60
43500	43530	30
43590	43609	20
43879	43899	20
44299	44319	20
44669	44769	100
44789	44799	10
44829	44859	30
44929	44949	20
45059	45069	10
45278	45368	90
45818	45858	40
46748	46768	20
47377	47507	130
47517	47537	20
47747	47777	30
48067	48127	60
48617	48627	10
48886	48906	20
49266	49286	20
49506	49536	30
51365	51465	100
51565	51575	10
52085	52105	20
52464	52494	30
53264	53294	30
53983	54013	30
54643	54723	80
55073	55153	80
55293	55303	10
55722	55742	20
56622	56642	20
56662	56722	60
56892	56912	20
57311	57391	80
57661	57721	60
57841	57911	70
58211	58231	20
58431	58471	40
58671	58741	70
58920	58940	20
59140	59170	30
59320	59350	30
61289	61339	50
61349	61379	30
61399	61439	40
61459	61489	30
61829	61839	10
62239	62269	30
62498	62578	80
63008	63038	30
63228	63248	20
63418	63438	20
63718	63748	30
64008	64028	20
65577	65657	80
65716	65747	30
66336	66356	20
67695	67755	60
67945	67955	10
68205	68235	30
68935	68965	30
69384	69414	30
69954	69984	30
70334	70354	20
71323	71373	50
71383	71423	40
71443	71463	20
72023	72033	10
72772	72782	10
72992	73052	60
73222	73232	10
73312	73332	20
74082	74102	20
74391	74411	20
74661	74681	20
76230	76250	20
76410	76420	10
76700	76710	10
77200	77220	20
77460	77470	10
77879	77969	90
78059	78069	10
78799	78809	10
79259	79269	10
80148	80158	10
81087	81157	70
81187	81227	40
81527	81567	40
83626	83696	70
83796	83806	10
84096	84106	10
84276	84296	20
84436	84476	40
84785	84815	30
85015	85035	20
85255	85295	40
85575	85585	10
85985	86005	20
86464	86474	10
86694	86724	30
89053	89133	80
89233	89253	20
89263	89273	10
89582	89612	30
89692	89712	20
91172	91202	30
91311	91331	20
91341	91351	10
91601	91661	60
91681	91741	60
91771	91801	30
91861	91871	10
92221	92241	20
92261	92281	20
92521	92561	40
92931	92941	10
93110	93150	40
94640	94660	20
94700	94719	20
94769	94779	10
94919	94959	40
94989	95009	20
95019	95039	20
95069	95089	20
95129	95139	10
95819	95849	30
95969	95999	30
98267	98367	100
98457	98467	10
99187	99217	30
99427	99437	10
99627	99647	20
100716	100726	10
101186	101276	90
101436	101456	20
101785	101815	30
102005	102035	30
102145	102165	20
102515	102535	20
104244	104274	30
104294	104334	40
104344	104364	20
104434	104454	20
105063	105073	10
105613	105633	20
106113	106143	30
107072	107082	10
107692	107712	20
107862	107872	10
108002	108052	50
108931	108961	30
109321	109341	20
109411	109441	30
109451	109461	10
109711	109731	20
110060	110090	30
110110	110140	30
113169	113249	80
113259	113279	20
113309	113329	20
113379	113399	20
114768	114788	20
114918	114988	70
115018	115028	10
115048	115068	20
115307	115327	20
115917	115947	30
116267	116297	30
116647	116677	30
116697	116717	20
117056	117086	30
117106	117136	30
117286	117316	30
117336	117346	10
117366	117376	10
117666	117686	20
117746	117766	20
118276	118286	10
118695	118725	30
119475	119505	30
120374	120404	30
120944	120974	30
121933	122033	100
122083	122103	20
122593	122623	30
122663	122683	20
122713	122733	20
123343	123363	20
123613	123623	10
124212	124232	20
124712	124732	20
124832	124932	100
125491	125521	30
129359	129389	30
129499	129529	30
129579	129679	100
