event_type	start_time	end_time	duration	saccade_amplitude
Saccade	245	285	40	
Saccade	295	325	30	
Saccade	375	415	40	
Saccade	435	465	30	
Saccade	485	585	100	
Saccade	595	635	40	
Saccade	655	695	40	
Saccade	705	735	30	
Fixation	775	855	80	
Saccade	855	904	50	13.26
Fixation	904	1044	140	
Saccade	1044	1094	50	
Saccade	1144	1194	50	
Fixation	1194	1464	270	
Fixation	1474	1754	280	
Saccade	1754	1774	20	6.29
Fixation	1774	1874	100	
Saccade	1874	1894	20	1.35
Fixation	1894	2124	230	
Fixation	2134	2254	120	
Saccade	2254	2274	20	
Saccade	2334	2354	20	
Saccade	2374	2404	30	
Saccade	2414	2444	30	
Fixation	2444	2564	120	
Saccade	2574	2594	20	
Fixation	2594	2783	190	
Fixation	2793	2973	180	
Saccade	2973	2993	20	
Saccade	3023	3043	20	
Fixation	3043	3383	340	
Saccade	3383	3423	40	8.46
Fixation	3423	3783	360	
Saccade	3783	3813	30	5.69
Fixation	3813	3943	130	
Fixation	3953	4263	310	
Saccade	4263	4343	80	
Saccade	4382	4392	10	
Saccade	4442	4472	30	
Fixation	4472	5032	560	
Saccade	5032	5072	40	
Saccade	5112	5132	20	
Fixation	5132	5282	150	
Saccade	5282	5312	30	8.1
Fixation	5312	5412	100	
Saccade	5412	5442	30	
Saccade	5482	5502	20	
Saccade	5522	5562	40	
Saccade	5592	5612	20	
Fixation	5612	5712	100	
Saccade	5712	5742	30	
Saccade	5752	5762	10	
Saccade	5812	5832	20	
Fixation	5832	6042	210	
Saccade	6042	6062	20	5.16
Fixation	6062	6301	240	
Saccade	6301	6311	10	3.32
Fixation	6311	6471	160	
Saccade	6471	6491	20	4.73
Fixation	6491	6671	180	
Saccade	6671	6681	10	1.63
Fixation	6681	6981	300	
Saccade	6981	7001	20	
Saccade	7011	7031	20	
Saccade	7081	7121	40	
Fixation	7171	7761	590	
Saccade	7761	7821	60	
Saccade	7900	7930	30	
Saccade	7980	7990	10	
Saccade	8080	8130	50	
Saccade	8140	8160	20	
Fixation	8200	8770	570	
Saccade	8770	8800	30	
Saccade	8910	8940	30	
Saccade	8990	9000	10	
Saccade	9030	9080	50	
Saccade	9100	9130	30	
Saccade	9140	9160	20	
Fixation	9160	9280	120	
Saccade	9280	9320	40	8.37
Fixation	9320	9420	100	
Saccade	9420	9470	50	7.59
Fixation	9470	9540	70	
Saccade	9540	9610	70	
Saccade	9620	9649	30	
Fixation	9649	10209	560	
Saccade	10209	10239	30	8.92
Fixation	10239	10529	290	
Saccade	10529	10559	30	
Fixation	10589	10889	300	
Saccade	10889	10909	20	5.39
Fixation	10909	10999	90	
Saccade	10999	11029	30	3.34
Fixation	11029	11259	230	
Saccade	11259	11329	70	
Saccade	11339	11359	20	
Saccade	11378	11388	10	
Fixation	11388	11708	320	
Saccade	11708	11718	10	
Saccade	11768	11808	40	
Saccade	11868	11948	80	
Saccade	11968	11998	30	
Fixation	11998	12128	130	
Saccade	12128	12158	30	6.93
Fixation	12158	12328	170	
Saccade	12328	12348	20	
Saccade	12398	12478	80	
Fixation	12478	12678	200	
Saccade	12678	12718	40	
Saccade	12728	12738	10	
Saccade	12748	12768	20	
Fixation	12768	13087	320	
Saccade	13087	13108	20	
Saccade	13118	13137	20	
Fixation	13137	13257	120	
Fixation	13267	13377	110	
Saccade	13377	13477	100	
Saccade	13497	13507	10	
Saccade	13547	13557	10	
Saccade	13567	13587	20	
Saccade	13607	13617	10	
Fixation	13617	13797	180	
Saccade	13797	13817	20	10.16
Fixation	13817	14297	480	
Saccade	14297	14317	20	
Saccade	14367	14407	40	
Fixation	14407	14477	70	
Saccade	14477	14517	40	0.91
Fixation	14517	14677	160	
Saccade	14677	14727	50	3.91
Fixation	14727	14827	100	
Saccade	14827	14857	30	5.08
Fixation	14857	15146	290	
Saccade	15146	15156	10	2.86
Fixation	15156	15266	110	
Saccade	15266	15296	30	
Saccade	15306	15336	30	
Saccade	15346	15376	30	
Saccade	15396	15416	20	
Saccade	15476	15486	10	
Fixation	15486	15556	70	
Saccade	15556	15586	30	7.75
Fixation	15586	15836	250	
Fixation	15886	16076	190	
Saccade	16086	16116	30	
Saccade	16156	16176	20	
Saccade	16226	16246	20	
Fixation	16246	16416	170	
Saccade	16416	16436	20	
Saccade	16446	16506	60	
Saccade	16526	16566	40	
Saccade	16585	16595	10	
Saccade	16645	16665	20	
Fixation	16665	16785	120	
Saccade	16785	16845	60	0.97
Fixation	16845	16955	110	
Saccade	16985	17025	40	
Fixation	17025	18025	999	
Saccade	18025	18045	20	
Saccade	18085	18105	20	
Saccade	18125	18145	20	
Fixation	18145	18225	80	
Saccade	18225	18245	20	4.75
Fixation	18245	18494	250	
Saccade	18494	18514	20	6.09
Fixation	18514	19094	580	
Saccade	19094	19114	20	
Saccade	19134	19174	40	
Fixation	19174	19304	130	
Saccade	19304	19394	90	27.21
Fixation	19394	19504	110	
Saccade	19504	19524	20	
Saccade	19544	19554	10	
Fixation	19554	19694	140	
Saccade	19694	19764	70	
Saccade	19774	19804	30	
Saccade	19834	19854	20	
Saccade	19874	19904	30	
Saccade	19954	19964	10	
Fixation	19964	20403	440	
Saccade	20403	20433	30	
Saccade	20463	20483	20	
Fixation	20483	20773	290	
Fixation	20803	21033	230	
Saccade	21043	21073	30	
Fixation	21073	21243	170	
Saccade	21243	21263	20	
Fixation	21323	21503	180	
Saccade	21503	21523	20	
Saccade	21533	21543	10	
Fixation	21543	21753	210	
Saccade	21763	21803	40	
Fixation	21803	22002	200	
Saccade	22002	22022	20	8.58
Fixation	22022	22152	130	
Saccade	22152	22172	20	
Saccade	22182	22212	30	
Saccade	22242	22272	30	
Fixation	22272	22472	200	
Saccade	22472	22512	40	6.73
Fixation	22512	23292	780	
Saccade	23292	23392	100	25.48
Fixation	23392	23651	260	
Saccade	23651	23671	20	9.62
Fixation	23671	23861	190	
Saccade	23861	23881	20	6.27
Fixation	23881	23981	100	
Saccade	23981	24001	20	
Saccade	24041	24061	20	
Fixation	24061	24681	620	
Saccade	24681	24701	20	4.37
Fixation	24701	25001	300	
Saccade	25001	25021	20	3.4
Fixation	25021	25151	130	
Saccade	25370	25390	20	
Fixation	25390	25470	80	
Saccade	25470	25540	70	6.61
Fixation	25540	25830	290	
Fixation	25840	26030	190	
Saccade	26030	26060	30	
Saccade	26070	26090	20	
Saccade	26270	26300	30	
Saccade	26340	26360	20	
Saccade	26400	26450	50	
Saccade	26500	26510	10	
Saccade	26530	26540	10	
Saccade	26560	26570	10	
Saccade	26600	26620	20	
Fixation	26620	26760	140	
Saccade	26760	26790	30	8.76
Fixation	26790	27010	220	
Fixation	27020	27739	720	
Saccade	27739	27769	30	
Fixation	27929	27999	70	
Saccade	27999	28019	20	
Saccade	28059	28109	50	
Fixation	28109	28259	150	
Saccade	28259	28279	20	
Saccade	28289	28309	20	
Saccade	28329	28359	30	
Saccade	28379	28449	70	
Saccade	28459	28469	10	
Fixation	28469	28609	140	
Saccade	28609	28639	30	
Saccade	28679	28719	40	
Fixation	28719	29648	929	
Saccade	29648	29668	20	
Saccade	29718	29728	10	
Fixation	29728	29818	90	
Saccade	29818	29858	40	6.2
Fixation	29858	30178	320	
Saccade	30178	30188	10	9.1
Fixation	30188	30508	320	
Saccade	30737	30787	50	
Fixation	30787	30877	90	
Saccade	30877	30897	20	6.86
Fixation	30897	31017	120	
Saccade	31017	31047	30	
Saccade	31057	31087	30	
Fixation	31087	31407	320	
Saccade	31407	31457	50	4.76
Fixation	31457	31937	480	
Saccade	31937	31957	20	5.22
Fixation	31957	32696	740	
Saccade	32696	32746	50	
Saccade	32756	32826	70	
Fixation	32826	33166	340	
Saccade	33166	33186	20	10.83
Fixation	33186	33396	210	
Saccade	33396	33436	40	0.59
Fixation	33436	33546	110	
Saccade	33546	33586	40	1.7
Fixation	33586	33966	380	
Saccade	33966	34006	40	8.95
Fixation	34006	34205	200	
Saccade	34205	34245	40	
Saccade	34285	34305	20	
Fixation	34305	34415	110	
Saccade	34415	34455	40	8.34
Fixation	34455	34585	130	
Saccade	34585	34595	10	1.93
Fixation	34595	34715	120	
Saccade	34715	34795	80	20.31
Fixation	34795	35235	440	
Saccade	35235	35345	110	
Fixation	35395	35695	300	
Saccade	35695	35725	30	
Fixation	35735	36024	290	
Saccade	36234	36254	20	
Saccade	36334	36354	20	
Saccade	36384	36404	20	
Fixation	36404	36474	70	
Saccade	36474	36484	10	4.2
Fixation	36484	36594	110	
Saccade	36594	36624	30	
Saccade	36684	36704	20	
Fixation	36744	36904	160	
Saccade	36904	36934	30	6.11
Fixation	36934	37553	620	
Saccade	37553	37573	20	
Saccade	37583	37603	20	
Saccade	37653	37683	30	
Saccade	37713	37733	20	
Saccade	37753	37763	10	
Fixation	37763	38413	650	
Saccade	38413	38433	20	2.47
Fixation	38433	38693	260	
Saccade	38693	38713	20	3.91
Fixation	38713	39113	400	
Saccade	39113	39123	10	4.83
Fixation	39123	39223	100	
Saccade	39223	39292	70	18.0
Fixation	39292	39362	70	
Saccade	39362	39382	20	2.35
Fixation	39382	39662	280	
Saccade	39662	39722	60	15.02
Fixation	39722	39952	230	
Saccade	39952	39992	40	
Saccade	40032	40052	20	
Saccade	40072	40092	20	
Fixation	40092	40312	220	
