Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]
115	175	60
765	775	10
795	874	80
1194	1234	40
1244	1274	30
1284	1324	40
1354	1404	50
1414	1434	20
1454	1494	40
1504	1534	30
1684	1724	40
2933	2953	20
3693	3763	70
3793	3803	10
3843	3863	20
4193	4352	160
4372	4392	20
4402	4462	60
4472	4482	10
4512	4522	10
4632	4672	40
5602	5702	100
5752	5772	20
5941	5961	20
6061	6081	20
6121	6201	80
6221	6241	20
6261	6281	20
6301	6341	40
6371	6411	40
6461	6481	20
6621	6661	40
7031	7061	30
7211	7241	30
7271	7321	50
7331	7381	50
7501	7511	10
7870	7900	30
8050	8080	30
8320	8340	20
8890	8910	20
10019	10099	80
10119	10149	30
10159	10179	20
10249	10259	10
10399	10419	20
10579	10609	30
11868	11888	20
11978	12068	90
12118	12148	30
12178	12188	10
12608	12637	30
12777	12807	30
12817	12837	20
12867	12917	50
13037	13057	20
13197	13217	20
13537	13567	30
13797	13817	20
14057	14087	30
14376	14386	10
14636	14666	30
14896	14916	20
15026	15056	30
15156	15176	20
15476	15496	20
17305	17335	30
17435	17485	50
17655	17724	70
17844	17864	20
17874	17964	90
17974	18004	30
18074	18084	10
18144	18184	40
18204	18214	10
18374	18404	30
18624	18664	40
18944	19024	80
19044	19064	20
19074	19094	20
19244	19254	10
19413	19453	40
19613	19673	60
19683	19713	30
19733	19743	10
19813	19823	10
19863	19873	10
19913	19923	10
20043	20053	10
20243	20253	10
20423	20453	30
21652	21682	30
21792	21832	40
21852	21892	40
22112	22132	20
22442	22472	30
22871	22881	10
22921	23021	100
23031	23061	30
23081	23121	40
23151	23171	20
23501	23521	20
23641	23671	30
23681	23721	40
23731	23821	90
23831	23851	20
23891	23911	20
24081	24101	20
26020	26060	40
26239	26289	50
26309	26329	20
26489	26559	70
26569	26589	20
26599	26639	40
26649	26679	30
26729	26749	20
26779	26809	30
26889	26909	20
27209	27219	10
27229	27279	50
27419	27469	50
27489	27529	40
27539	27549	10
27868	27898	30
28028	28038	10
28428	28468	40
28838	28848	10
30077	30087	10
30557	30587	30
30717	30737	20
30967	30997	30
31366	31386	20
32096	32196	100
32226	32246	20
32276	32306	30
32406	32446	40
32796	32816	20
33075	33095	20
33105	33225	120
33285	33305	20
33315	33335	20
33355	33365	10
33395	33415	20
33605	33645	40
33895	33925	30
34455	34465	10
34664	34694	30
34894	34914	20
35224	35254	30
35534	35544	10
36553	36573	20
36703	36723	20
37023	37043	20
37203	37293	90
37313	37333	20
37373	37393	20
37403	37423	20
37523	37543	20
37683	37713	30
37793	37813	20
37992	38032	40
38172	38192	20
38202	38232	30
38252	38272	20
38312	38352	40
38522	38552	30
39302	39332	30
39542	39561	20
39941	39961	20
40001	40021	20
40181	40191	10
41480	41500	20
41620	41650	30
41690	41740	50
41890	41920	30
42110	42130	20
42720	42740	20
42810	42890	80
42919	42949	30
43319	43359	40
43379	43449	70
43459	43489	30
43649	43679	30
44898	44988	90
45098	45108	10
45338	45368	30
45668	45738	70
45818	45828	10
45998	46008	10
46467	46507	40
46567	46597	30
46747	46857	110
46887	46947	60
46977	46997	20
47167	47187	20
47297	47327	30
47547	47567	20
48066	48076	10
48326	48346	20
48516	48546	30
48686	48696	10
48806	48816	10
48946	48966	20
49036	49056	20
49226	49256	30
49526	49536	10
50275	50295	20
50415	50435	20
50735	50755	20
52514	52554	40
52784	52804	20
53013	53023	10
54902	54932	30
54972	55002	30
55232	55262	30
55782	55802	20
