start_time	end_time	Block	Grid	IFU	Single Shape
0.055	0.185	1600.0	1600.0	390.9	1600.0
0.335	0.515	1600.0	1600.0	439.1	1600.0
0.555	0.755	1600.0	1600.0	477.3	1600.0
0.835	1.234	1600.0	1600.0	486.2	1600.0
1.274	1.534	1600.0	1600.0	1600.0	1600.0
1.554	1.674	1600.0	1600.0	1600.0	1600.0
3.303	3.413	625.2	619.2	0.0	1600.0
3.743	3.873	681.4	700.6	0.0	1600.0
3.893	3.963	768.5	649.9	0.0	1600.0
4.093	4.173	879.5	685.4	0.0	1600.0
4.292	4.552	1600.0	838.4	0.0	1600.0
4.612	4.922	1600.0	695.0	0.0	1600.0
5.002	5.172	1600.0	481.0	137.0	1600.0
5.192	5.462	1600.0	133.0	315.8	1600.0
5.692	5.802	1600.0	0.0	740.5	1600.0
5.942	6.071	1600.0	0.0	483.6	1600.0
6.241	6.451	1600.0	272.2	364.0	1600.0
6.491	6.601	1600.0	229.7	357.1	1600.0
6.641	6.901	1600.0	245.4	328.4	0.0
6.921	7.001	1600.0	194.2	279.0	12.0
7.011	7.161	1600.0	245.8	192.0	0.0
7.491	7.7	897.5	321.4	49.0	33.7
7.75	7.85	864.2	345.1	38.9	5.0
7.87	7.98	838.2	363.0	55.9	0.0
8.05	8.4	843.0	351.3	49.7	1.0
8.46	8.55	835.0	359.1	13.6	17.7
8.57	8.69	831.0	362.0	20.0	11.3
8.71	8.85	844.0	349.1	46.2	10.3
8.99	9.649	652.0	524.2	26.0	20.1
9.809	9.999	253.7	1600.0	330.5	140.9
10.359	10.449	26.0	1600.0	867.3	468.0
10.489	10.599	20.0	1600.0	676.4	366.0
10.649	10.769	0.0	1600.0	638.1	149.0
10.859	10.949	26.1	1600.0	453.3	7.3
11.089	11.168	0.0	1600.0	470.4	1600.0
11.208	11.278	0.0	1600.0	632.7	1600.0
11.318	11.548	37.0	1600.0	598.1	1600.0
11.588	11.698	46.0	1600.0	586.6	1600.0
11.718	11.988	25.0	1600.0	570.3	1600.0
12.078	12.148	0.0	1600.0	554.0	1600.0
12.558	12.668	43.0	1600.0	386.2	1600.0
12.698	12.798	384.9	603.7	83.6	1600.0
12.818	13.047	1600.0	187.8	105.1	1600.0
13.507	13.597	1600.0	84.6	401.6	1600.0
13.627	13.757	1600.0	110.0	315.8	1600.0
13.907	13.997	1600.0	450.0	0.0	1600.0
14.077	14.157	1600.0	136.3	275.0	1600.0
14.457	14.546	1600.0	9.9	1212.3	1600.0
14.926	15.016	1600.0	0.0	736.0	1600.0
15.066	15.156	1600.0	137.3	246.7	1600.0
15.176	15.326	982.8	262.1	130.3	1600.0
15.646	15.716	1600.0	372.7	0.0	1600.0
15.756	15.836	1600.0	144.8	240.1	1600.0
15.926	16.016	1600.0	61.3	341.8	325.1
16.036	16.116	1600.0	116.2	264.0	1600.0
16.435	16.565	1600.0	2.8	493.8	167.2
16.585	16.655	1600.0	78.3	422.7	102.4
16.855	17.085	1600.0	245.4	392.5	0.0
17.255	17.355	1022.2	253.9	333.6	116.2
17.375	17.495	923.2	314.1	308.7	155.0
17.535	17.655	752.6	408.9	211.6	59.7
17.665	17.755	690.3	452.8	139.5	37.6
17.825	18.004	324.7	891.1	166.1	119.9
18.124	18.244	23.0	1600.0	502.5	312.5
18.404	18.494	200.3	1600.0	1024.7	723.5
18.574	18.644	0.0	1600.0	789.2	490.1
18.684	18.764	7.0	1600.0	724.5	509.3
18.824	18.924	0.0	1600.0	652.0	389.5
19.054	19.214	54.0	1600.0	665.1	265.0
19.254	19.354	0.0	1600.0	557.5	159.0
19.394	19.534	0.0	1600.0	522.5	115.0
19.683	19.853	139.6	1600.0	339.6	0.0
20.033	20.123	0.0	1600.0	682.2	304.2
20.143	20.213	0.0	1600.0	673.0	303.0
20.253	20.323	0.0	1600.0	643.9	271.0
20.353	20.523	71.8	1600.0	687.4	355.2
20.673	20.853	0.0	1600.0	673.5	347.0
20.973	21.103	0.0	1600.0	668.7	323.0
21.123	21.353	0.0	1600.0	511.7	169.2
21.372	21.492	0.0	1600.0	417.9	51.4
21.652	21.762	218.3	1600.0	210.0	55.1
21.972	22.182	0.0	1600.0	573.9	186.4
22.202	22.472	0.0	1600.0	537.8	132.4
22.622	22.752	73.1	1600.0	369.9	8.9
22.772	22.932	43.6	1600.0	404.5	35.8
23.042	23.151	0.0	1600.0	620.0	229.4
23.291	23.411	0.0	1600.0	617.0	1600.0
23.451	23.551	0.0	1600.0	585.0	1600.0
23.591	23.701	0.0	1600.0	575.0	1600.0
23.721	23.811	0.0	1600.0	561.3	1600.0
23.851	24.401	0.0	1600.0	489.7	1600.0
24.491	24.671	217.1	752.2	187.9	1600.0
24.741	24.87	285.5	729.8	149.5	1600.0
24.99	25.07	655.3	402.4	42.9	1600.0
25.22	25.35	288.9	1600.0	117.3	1600.0
25.53	25.65	0.0	1600.0	723.4	1600.0
25.69	25.82	0.0	1600.0	673.4	1600.0
25.84	25.97	0.0	1600.0	626.2	1600.0
25.99	26.1	0.0	1600.0	588.8	1600.0
26.12	26.32	0.0	1600.0	486.6	1600.0
26.42	26.519	494.9	573.4	19.2	1600.0
26.539	26.659	1600.0	320.5	0.0	1600.0
27.349	27.429	1600.0	0.0	785.5	1600.0
31.107	31.227	1600.0	0.0	729.9	1600.0
31.377	31.507	1600.0	195.1	205.8	1600.0
