Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	175	175	867.0	395.0
295	795	500	861.0	409.0
1064	1144	80	896.0	380.0
1214	1324	110	890.0	369.0
2084	2164	80	290.0	791.0
2783	3023	240	790.0	633.0
3213	3293	80	482.0	585.0
3473	3563	90	1255.0	642.0
3583	3673	90	1164.0	654.0
3743	3843	100	1096.0	717.0
3863	3953	90	1095.0	756.0
4013	4113	100	1098.0	771.0
4322	4402	80	1162.0	777.0
4442	4522	80	1100.0	680.0
4562	4712	150	1066.0	662.0
4782	4942	160	1156.0	716.0
5002	5112	110	1086.0	727.0
5262	5352	90	1146.0	660.0
5572	5662	90	1828.0	677.0
5832	5971	140	1546.0	687.0
5991	6071	80	1472.0	669.0
6261	6361	100	1301.0	632.0
6531	6761	230	1193.0	603.0
7081	7171	90	1262.0	632.0
7231	7301	70	1178.0	602.0
7361	7431	70	1142.0	572.0
7521	7591	70	1062.0	563.0
7611	7690	80	1059.0	573.0
7810	7890	80	793.0	612.0
8060	8290	230	1077.0	629.0
8530	8610	80	819.0	628.0
8800	8990	190	974.0	582.0
9030	9130	100	1010.0	653.0
9180	9419	240	968.0	586.0
9479	9579	100	927.0	567.0
9599	9689	90	904.0	536.0
9729	9839	110	874.0	535.0
10029	10259	230	895.0	587.0
10299	10429	130	832.0	549.0
10779	10869	90	1348.0	648.0
10879	10959	80	1333.0	657.0
11298	11378	80	926.0	686.0
11588	11658	70	1251.0	609.0
11978	12208	230	1329.0	615.0
12248	12358	110	1250.0	594.0
12378	12478	100	1269.0	591.0
12827	12897	70	574.0	656.0
13367	13457	90	1270.0	619.0
13497	13677	180	1194.0	617.0
14067	14177	110	671.0	688.0
14217	14327	110	694.0	591.0
14516	14626	110	716.0	522.0
14796	14876	80	777.0	572.0
15096	15246	150	1005.0	484.0
15386	15456	70	895.0	499.0
15476	15546	70	861.0	521.0
15636	15726	90	901.0	564.0
15796	15876	80	865.0	571.0
16066	16155	90	769.0	676.0
16195	16275	80	790.0	496.0
16515	16745	230	691.0	503.0
16895	16995	100	823.0	620.0
17005	17405	400	799.0	543.0
17625	17725	100	859.0	635.0
17765	17874	110	874.0	655.0
17894	18004	110	889.0	681.0
18064	18134	70	857.0	776.0
18174	18404	230	878.0	708.0
18504	18644	140	1467.0	662.0
18864	18944	80	1196.0	615.0
19294	19404	110	860.0	624.0
19763	19973	210	1011.0	675.0
20083	20163	80	1017.0	699.0
20213	20383	170	1018.0	660.0
20443	20513	70	1050.0	674.0
20583	20663	80	1149.0	656.0
21113	21242	130	1693.0	749.0
21282	21372	90	1537.0	741.0
21442	21662	220	1424.0	710.0
21682	21912	230	1384.0	692.0
22252	22392	140	1400.0	677.0
22412	22492	80	1392.0	657.0
