Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	185	185	862.0	387.0
305	815	510	861.0	398.0
1754	1894	140	443.0	790.0
1964	2214	250	634.0	792.0
2284	2414	130	820.0	981.0
3063	3213	150	966.0	829.0
3363	3483	120	903.0	576.0
3653	3783	130	847.0	567.0
3803	3933	130	871.0	571.0
3953	4053	100	902.0	607.0
4233	4342	110	1148.0	410.0
4362	4462	100	1059.0	407.0
4502	4912	410	1053.0	444.0
4932	5142	210	1072.0	526.0
5182	5302	120	1035.0	551.0
5312	5422	110	983.0	636.0
5462	5582	120	995.0	681.0
5602	5862	260	984.0	672.0
6001	6071	70	938.0	682.0
6181	6281	100	930.0	714.0
6301	6411	110	886.0	729.0
6431	6701	270	907.0	725.0
6911	7031	120	484.0	448.0
7201	7331	130	647.0	563.0
7491	7980	490	790.0	672.0
8070	8350	280	810.0	691.0
8370	8610	240	790.0	663.0
9250	9330	80	1274.0	440.0
9429	9549	120	1237.0	528.0
9649	9919	270	1194.0	523.0
10139	10219	80	574.0	757.0
10339	10409	70	767.0	657.0
10449	10559	110	817.0	607.0
10629	10959	330	931.0	610.0
11268	11378	110	524.0	431.0
11398	11498	100	546.0	458.0
11528	11718	190	676.0	370.0
11728	11848	120	780.0	389.0
11968	12328	360	779.0	483.0
12368	12568	200	906.0	705.0
12648	12897	250	797.0	593.0
12917	13027	110	887.0	574.0
13087	13237	150	792.0	576.0
13247	13527	280	852.0	614.0
13637	13827	190	771.0	571.0
13897	14017	120	871.0	538.0
14047	14307	260	778.0	542.0
14327	14407	80	847.0	588.0
14447	14826	380	814.0	558.0
14886	15066	180	891.0	601.0
15116	15606	490	833.0	566.0
15816	15946	130	1138.0	647.0
15956	16066	110	984.0	674.0
16086	16465	380	879.0	708.0
16495	16765	270	850.0	615.0
16815	17025	210	884.0	631.0
17335	17585	250	1111.0	588.0
17605	17685	80	1000.0	568.0
17735	17895	160	990.0	571.0
18014	18214	200	1036.0	594.0
18254	18534	280	973.0	752.0
18684	18774	90	1003.0	759.0
18854	18934	80	1052.0	707.0
19234	19314	80	616.0	494.0
19424	19574	150	642.0	495.0
19673	19863	190	761.0	448.0
19913	20133	220	779.0	446.0
20183	20583	400	803.0	532.0
20603	20843	240	796.0	565.0
20903	21113	210	794.0	581.0
21153	21412	260	790.0	571.0
21562	21732	170	756.0	543.0
21752	21942	190	781.0	594.0
22002	22132	130	796.0	579.0
22262	22682	420	866.0	587.0
22832	22932	100	817.0	590.0
23131	23221	90	1228.0	657.0
23311	23381	70	1005.0	645.0
23571	23651	80	925.0	657.0
24081	24281	200	1094.0	399.0
24351	24461	110	823.0	549.0
24481	24581	100	861.0	563.0
24771	24880	110	687.0	834.0
25050	25140	90	697.0	753.0
25220	25300	80	1154.0	618.0
25430	25560	130	1025.0	714.0
26020	26130	110	586.0	420.0
26150	26250	100	667.0	429.0
26260	26390	130	660.0	393.0
26430	26559	130	767.0	458.0
26579	26679	100	772.0	481.0
26699	26829	130	787.0	499.0
26919	26999	80	1042.0	794.0
27019	27109	90	1025.0	791.0
27129	27249	120	995.0	769.0
27269	27359	90	967.0	721.0
27419	27809	390	843.0	536.0
27849	28338	490	860.0	568.0
28748	28908	160	951.0	781.0
28948	29218	270	812.0	765.0
29238	29338	100	802.0	785.0
29388	29548	160	769.0	707.0
29688	29828	140	818.0	559.0
29947	30047	100	844.0	584.0
30347	30517	170	1296.0	554.0
30617	30877	260	1172.0	527.0
30897	31027	130	1135.0	537.0
31047	31147	100	1107.0	569.0
31696	31786	90	537.0	511.0
31846	31996	150	713.0	484.0
32026	32116	90	741.0	370.0
32136	32226	90	780.0	406.0
32286	32376	90	738.0	461.0
32396	32646	250	767.0	484.0
32686	32826	140	791.0	505.0
32846	32926	80	828.0	542.0
33096	33196	100	885.0	587.0
33236	33895	660	904.0	577.0
34915	35035	120	986.0	383.0
35054	35164	110	1009.0	424.0
35214	35434	220	1148.0	440.0
35454	35564	110	1326.0	426.0
35604	35674	70	1303.0	440.0
35914	35994	80	744.0	859.0
36014	36084	70	804.0	762.0
36164	36244	80	749.0	704.0
36314	36434	120	946.0	836.0
36454	36564	110	905.0	783.0
36604	36773	170	882.0	787.0
36863	37013	150	831.0	687.0
37033	37163	130	951.0	681.0
37603	37683	80	561.0	505.0
37853	37983	130	972.0	958.0
38003	38093	90	971.0	879.0
38153	38253	100	974.0	837.0
38582	38742	160	751.0	534.0
38912	39042	130	859.0	632.0
39062	39172	110	869.0	673.0
39212	39312	100	903.0	719.0
39352	39462	110	841.0	727.0
39502	39882	380	879.0	693.0
39902	40012	110	853.0	649.0
40032	40281	250	832.0	645.0
40321	40431	110	880.0	655.0
40871	40941	70	1063.0	674.0
41031	41251	220	934.0	754.0
41301	41521	220	795.0	730.0
41601	41791	190	880.0	755.0
41831	42080	250	898.0	758.0
42120	42230	110	904.0	740.0
42250	42360	110	942.0	715.0
42380	42510	130	920.0	576.0
43010	43080	70	1094.0	344.0
43140	43210	70	955.0	415.0
43230	43360	130	939.0	420.0
43420	43590	170	945.0	453.0
43629	43749	120	996.0	491.0
43769	43849	80	1010.0	493.0
43919	44049	130	972.0	546.0
44069	44159	90	993.0	660.0
44179	44299	120	976.0	706.0
44319	44429	110	1001.0	702.0
44739	44849	110	539.0	393.0
45279	45398	120	863.0	480.0
45418	45528	110	867.0	502.0
45698	45818	120	794.0	506.0
45838	46078	240	731.0	517.0
46098	46358	260	741.0	506.0
46398	46498	100	754.0	509.0
46548	46668	120	827.0	553.0
46688	47067	380	845.0	561.0
47087	47217	130	806.0	514.0
47237	47527	290	798.0	532.0
47937	48017	80	1128.0	692.0
48117	48187	70	936.0	703.0
48387	48467	80	1394.0	284.0
48647	48766	120	1158.0	402.0
48786	48896	110	1162.0	465.0
48946	49046	100	1206.0	512.0
49066	49176	110	1246.0	546.0
49766	49876	110	635.0	503.0
49896	50016	120	690.0	504.0
50056	50166	110	563.0	530.0
50186	50296	110	612.0	541.0
50316	50396	80	656.0	533.0
50405	50555	150	750.0	536.0
50595	50815	220	773.0	563.0
50955	51065	110	684.0	702.0
51155	51355	200	751.0	613.0
51415	51505	90	711.0	614.0
51625	51835	210	937.0	580.0
51895	52115	220	848.0	587.0
52135	52294	160	873.0	612.0
52314	52394	80	939.0	660.0
52534	52664	130	879.0	629.0
52684	52974	290	884.0	610.0
52984	53084	100	846.0	548.0
53104	53194	90	817.0	560.0
53214	53334	120	729.0	582.0
53634	53724	90	1101.0	728.0
53764	53873	110	996.0	675.0
53913	54013	100	938.0	664.0
54053	54143	90	908.0	666.0
54223	54293	70	896.0	668.0
54313	54423	110	883.0	675.0
54503	54593	90	869.0	678.0
54633	54883	250	863.0	626.0
54903	54973	70	841.0	632.0
55183	55363	180	1124.0	700.0
55453	55612	160	986.0	594.0
55632	55942	310	949.0	564.0
56012	56182	170	1055.0	569.0
56512	56582	70	469.0	478.0
56602	56702	100	493.0	513.0
56722	56852	130	559.0	530.0
56982	57102	120	781.0	421.0
57122	57222	100	809.0	462.0
57321	57651	330	890.0	498.0
57671	57781	110	909.0	510.0
57801	57911	110	926.0	526.0
57951	58381	430	959.0	536.0
58471	58571	100	925.0	542.0
59280	59540	260	1139.0	412.0
59900	60060	160	700.0	839.0
60130	60230	100	1098.0	597.0
60400	60580	180	978.0	687.0
60669	60739	70	777.0	661.0
60759	60839	80	768.0	689.0
61079	61159	80	589.0	468.0
61379	61459	80	795.0	499.0
61519	61589	70	736.0	576.0
61629	61759	130	748.0	585.0
61999	62099	100	913.0	574.0
62199	62398	200	870.0	600.0
62488	62728	240	757.0	670.0
62748	62878	130	740.0	649.0
62898	62998	100	727.0	644.0
63038	63128	90	753.0	643.0
63148	63578	430	845.0	666.0
63698	63868	170	812.0	625.0
64038	64107	70	1342.0	722.0
64147	64377	230	1110.0	702.0
64457	64567	110	980.0	777.0
64597	64797	200	901.0	648.0
64817	64907	90	910.0	659.0
64967	65077	110	883.0	608.0
65097	65567	470	932.0	626.0
65587	65836	250	956.0	679.0
66036	66146	110	764.0	167.0
66186	66296	110	844.0	294.0
66316	66476	160	891.0	432.0
66496	66576	80	908.0	485.0
66596	66716	120	909.0	506.0
66736	67525	790	901.0	520.0
67565	67965	400	882.0	439.0
68015	68845	830	892.0	417.0
68965	69214	250	877.0	413.0
69254	70234	979	895.0	393.0
