Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	175.0	175.0	936.0	412.0
296.0	1315.0	1019.0	938.0	416.0
2449.0	2609.0	160.0	711.0	574.0
2629.0	2759.0	130.0	883.0	548.0
2868.0	3298.0	430.0	942.0	607.0
3343.0	3443.0	100.0	955.0	590.0
3465.0	3555.0	90.0	940.0	588.0
3614.0	3874.0	260.0	954.0	625.0
3893.0	4103.0	210.0	937.0	627.0
4165.0	4305.0	140.0	899.0	620.0
4324.0	4444.0	120.0	897.0	641.0
4467.0	4577.0	110.0	868.0	613.0
4615.0	4705.0	90.0	856.0	612.0
4745.0	4845.0	100.0	842.0	609.0
4897.0	5367.0	470.0	840.0	586.0
5467.0	5577.0	110.0	890.0	647.0
5614.0	5974.0	360.0	941.0	602.0
6035.0	6125.0	90.0	937.0	570.0
6142.0	6252.0	110.0	918.0	559.0
6293.0	6543.0	250.0	931.0	659.0
6596.0	6726.0	130.0	908.0	644.0
6762.0	6862.0	100.0	864.0	499.0
6886.0	7096.0	210.0	887.0	500.0
7116.0	7296.0	180.0	910.0	524.0
7312.0	7622.0	310.0	919.0	542.0
7662.0	7872.0	210.0	898.0	546.0
7892.0	8012.0	120.0	888.0	533.0
8155.0	8295.0	140.0	1256.0	512.0
8385.0	8555.0	170.0	1168.0	467.0
8612.0	8972.0	360.0	1020.0	407.0
9015.0	9145.0	130.0	1064.0	540.0
9185.0	9275.0	90.0	1008.0	520.0
9634.0	9794.0	160.0	671.0	559.0
9984.0	10134.0	150.0	1089.0	678.0
10154.0	10274.0	120.0	1121.0	654.0
10370.0	10450.0	80.0	1191.0	551.0
10584.0	10824.0	240.0	1209.0	513.0
10884.0	11094.0	210.0	1177.0	537.0
11398.0	11508.0	110.0	605.0	579.0
11592.0	11792.0	200.0	719.0	532.0
11939.0	12209.0	270.0	1193.0	515.0
12349.0	12459.0	110.0	1033.0	606.0
12612.0	12692.0	80.0	979.0	653.0
12749.0	12859.0	110.0	1198.0	474.0
12883.0	12983.0	100.0	1171.0	476.0
12989.0	13129.0	140.0	1211.0	513.0
13151.0	13261.0	110.0	1191.0	514.0
13282.0	13562.0	280.0	1170.0	512.0
13598.0	13668.0	70.0	1147.0	511.0
13711.0	13831.0	120.0	1127.0	513.0
13848.0	13918.0	70.0	1115.0	518.0
14001.0	14151.0	150.0	1085.0	533.0
14270.0	14350.0	80.0	1030.0	554.0
14432.0	14682.0	250.0	989.0	570.0
14699.0	14939.0	240.0	975.0	573.0
14976.0	15106.0	130.0	837.0	585.0
15131.0	15211.0	80.0	846.0	576.0
15250.0	15360.0	110.0	854.0	568.0
