Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0.0	205.0	205.0	830.0	198.0
305.0	1204.0	899.0	888.0	192.0
2209.0	2379.0	170.0	1123.0	471.0
2394.0	3743.0	1349.0	926.0	515.0
3844.0	4104.0	260.0	903.0	581.0
4114.0	5103.0	989.0	913.0	693.0
5112.0	5312.0	200.0	932.0	637.0
5327.0	5597.0	270.0	860.0	655.0
5625.0	5845.0	220.0	993.0	685.0
5855.0	6175.0	320.0	902.0	695.0
6264.0	6544.0	280.0	1390.0	500.0
6644.0	7484.0	840.0	1027.0	511.0
7492.0	8212.0	720.0	984.0	604.0
8493.0	8653.0	160.0	637.0	569.0
8675.0	9005.0	330.0	757.0	486.0
9024.0	9244.0	220.0	756.0	524.0
9265.0	9485.0	220.0	754.0	607.0
9504.0	9934.0	430.0	763.0	632.0
9982.0	10722.0	740.0	1085.0	816.0
10761.0	11211.0	450.0	932.0	571.0
11233.0	12532.0	1299.0	843.0	665.0
12543.0	12773.0	230.0	746.0	600.0
13072.0	13272.0	200.0	1156.0	670.0
13292.0	13492.0	200.0	1027.0	736.0
13562.0	13812.0	250.0	1249.0	418.0
13852.0	14022.0	170.0	1261.0	432.0
14032.0	14552.0	520.0	1118.0	505.0
14796.0	15016.0	220.0	722.0	843.0
15051.0	15201.0	150.0	929.0	784.0
15218.0	15458.0	240.0	932.0	670.0
15497.0	15667.0	170.0	1185.0	688.0
15688.0	15828.0	140.0	1019.0	693.0
16038.0	16218.0	180.0	759.0	540.0
16226.0	16366.0	140.0	805.0	573.0
16407.0	16607.0	200.0	889.0	417.0
16638.0	16748.0	110.0	1010.0	434.0
16780.0	16890.0	110.0	875.0	414.0
16940.0	17140.0	200.0	1007.0	609.0
17220.0	17320.0	100.0	947.0	594.0
17329.0	17609.0	280.0	887.0	640.0
17636.0	17706.0	70.0	925.0	541.0
17720.0	17870.0	150.0	881.0	554.0
17960.0	18090.0	130.0	830.0	511.0
18106.0	18386.0	280.0	853.0	580.0
18408.0	18698.0	290.0	795.0	545.0
18737.0	19746.0	1009.0	922.0	703.0
19787.0	21356.0	1569.0	820.0	541.0
21576.0	21716.0	140.0	1219.0	714.0
21733.0	21863.0	130.0	1134.0	744.0
21913.0	22003.0	90.0	1034.0	724.0
22013.0	22263.0	250.0	944.0	752.0
22294.0	22544.0	250.0	764.0	767.0
22575.0	23125.0	550.0	865.0	677.0
23146.0	23506.0	360.0	827.0	624.0
23522.0	23882.0	360.0	891.0	610.0
23913.0	24163.0	250.0	770.0	609.0
24215.0	24415.0	200.0	818.0	415.0
24456.0	24586.0	130.0	770.0	585.0
24601.0	24751.0	150.0	802.0	621.0
24985.0	25715.0	730.0	956.0	579.0
25822.0	26002.0	180.0	575.0	855.0
26013.0	26193.0	180.0	651.0	756.0
26285.0	26445.0	160.0	1163.0	778.0
26502.0	26852.0	350.0	1046.0	812.0
27050.0	27420.0	370.0	721.0	534.0
27532.0	27742.0	210.0	828.0	388.0
27764.0	27924.0	160.0	875.0	337.0
27974.0	28044.0	70.0	873.0	611.0
28092.0	28362.0	270.0	846.0	624.0
28383.0	28713.0	330.0	864.0	533.0
28740.0	29370.0	630.0	881.0	492.0
29599.0	29909.0	310.0	872.0	387.0
29952.0	30382.0	430.0	722.0	467.0
30420.0	30590.0	170.0	860.0	352.0
30710.0	30780.0	70.0	880.0	442.0
30822.0	31332.0	510.0	844.0	475.0
31362.0	31632.0	270.0	850.0	356.0
31658.0	31888.0	230.0	756.0	283.0
31911.0	32251.0	340.0	680.0	273.0
32440.0	32620.0	180.0	852.0	500.0
32641.0	32741.0	100.0	847.0	528.0
32759.0	32869.0	110.0	857.0	539.0
32886.0	33306.0	420.0	865.0	427.0
33351.0	33551.0	200.0	980.0	593.0
33558.0	33728.0	170.0	1042.0	597.0
33766.0	33846.0	80.0	1037.0	607.0
34009.0	34099.0	90.0	829.0	440.0
34140.0	34400.0	260.0	841.0	453.0
34419.0	34499.0	80.0	882.0	514.0
34537.0	34927.0	390.0	899.0	538.0
34940.0	35740.0	800.0	855.0	474.0
36079.0	36219.0	140.0	1172.0	628.0
36238.0	36418.0	180.0	1035.0	707.0
36575.0	36735.0	160.0	836.0	703.0
36805.0	37095.0	290.0	1040.0	377.0
37296.0	37426.0	130.0	873.0	479.0
37478.0	37648.0	170.0	1130.0	321.0
37708.0	37928.0	220.0	1004.0	345.0
37964.0	38254.0	290.0	952.0	513.0
38434.0	38914.0	480.0	1030.0	545.0
38985.0	39115.0	130.0	791.0	750.0
39154.0	39354.0	200.0	918.0	705.0
