Event Start Trial Time [ms]	Event End Trial Time [ms]	Event Duration [ms]	Visual Intake Position X [px]	Visual Intake Position Y [px]
0	944	944	933.0	236.0
2224	2863	640	833.0	515.0
2873	3233	360	966.0	518.0
3273	3983	710	936.0	512.0
4003	4193	190	930.0	535.0
4213	4522	310	949.0	631.0
4542	4842	300	881.0	556.0
4862	5312	450	900.0	647.0
5542	5792	250	939.0	637.0
5802	5992	190	868.0	644.0
6002	6501	500	914.0	629.0
6711	6811	100	1244.0	563.0
6991	7730	740	931.0	505.0
7770	7900	130	1060.0	550.0
8000	8170	170	1063.0	538.0
8210	8300	90	1117.0	670.0
8790	9050	260	599.0	447.0
9080	9300	220	864.0	609.0
9330	9539	210	755.0	528.0
9559	9689	130	731.0	574.0
9739	9899	160	954.0	720.0
9959	10109	150	940.0	717.0
10239	10369	130	877.0	641.0
10449	10539	90	761.0	546.0
10559	10759	200	778.0	526.0
10799	11179	380	785.0	627.0
11218	11448	230	773.0	396.0
11918	11998	80	833.0	449.0
12028	12158	130	942.0	567.0
12178	12308	130	997.0	651.0
12428	12838	410	855.0	506.0
13047	13487	440	875.0	539.0
13587	13827	240	811.0	587.0
13877	14117	240	939.0	800.0
14437	14517	80	857.0	506.0
14537	14806	270	879.0	542.0
14926	14996	70	846.0	544.0
15006	15176	170	792.0	572.0
15206	15486	280	892.0	565.0
15506	15896	390	873.0	568.0
15936	16346	410	864.0	559.0
16385	16705	320	874.0	602.0
17045	17205	160	1086.0	628.0
17285	17415	130	1008.0	708.0
17615	17835	220	1159.0	467.0
17915	18005	90	933.0	392.0
18134	18264	130	1017.0	460.0
18294	18364	70	1126.0	587.0
18574	18694	120	1081.0	598.0
18854	18924	70	1141.0	617.0
19124	19214	90	1094.0	592.0
19274	19384	110	893.0	584.0
19933	20283	350	841.0	689.0
20303	20443	140	956.0	642.0
20503	20653	150	927.0	636.0
20773	20923	150	808.0	629.0
20943	21023	80	844.0	645.0
21343	21453	110	1230.0	583.0
21473	21622	150	1257.0	588.0
22242	22552	310	811.0	585.0
22572	22662	90	894.0	621.0
22712	22912	200	958.0	817.0
23162	23231	70	968.0	530.0
23271	23351	80	1025.0	571.0
23441	23521	80	720.0	555.0
23561	23681	120	734.0	550.0
23721	23951	230	954.0	511.0
23971	24131	160	933.0	524.0
24151	24471	320	848.0	608.0
24631	24771	140	842.0	588.0
24791	24911	120	867.0	601.0
25170	25290	120	947.0	528.0
25340	25560	220	1043.0	568.0
25640	25740	100	861.0	702.0
25760	25830	70	883.0	683.0
25850	26020	170	829.0	676.0
26240	26410	170	901.0	755.0
26560	26669	110	893.0	468.0
26859	27019	160	881.0	455.0
27039	27179	140	989.0	635.0
27239	27509	270	1012.0	645.0
27549	27659	110	954.0	778.0
27779	27879	100	943.0	770.0
27949	28059	110	741.0	753.0
28099	28189	90	914.0	432.0
28289	28438	150	938.0	454.0
28588	28708	120	949.0	465.0
28818	28918	100	923.0	564.0
28938	29188	250	843.0	573.0
29778	29858	80	763.0	590.0
29878	30167	290	846.0	556.0
30287	30557	270	911.0	585.0
30577	30687	110	899.0	588.0
30707	30897	190	874.0	590.0
30977	31457	480	929.0	612.0
31557	31807	250	905.0	617.0
31826	32486	660	938.0	613.0
32506	32896	390	949.0	637.0
33036	33146	110	881.0	642.0
33585	33685	100	1086.0	615.0
33795	33875	80	931.0	627.0
33935	34035	100	889.0	644.0
34175	34355	180	1168.0	501.0
34445	34515	70	670.0	680.0
34535	34605	70	743.0	673.0
34845	34995	150	788.0	665.0
35095	35274	180	811.0	670.0
35444	35534	90	843.0	650.0
35554	35804	250	862.0	619.0
35824	35894	70	882.0	659.0
36074	36304	230	925.0	715.0
36434	36534	100	821.0	673.0
36714	36784	70	923.0	598.0
36944	37163	220	991.0	675.0
37183	37313	130	1005.0	751.0
37533	37793	260	976.0	693.0
37803	37933	130	883.0	624.0
38143	38443	300	1229.0	572.0
38543	38852	310	835.0	683.0
39182	39382	200	483.0	392.0
39452	39532	80	553.0	426.0
39612	39832	220	612.0	443.0
40421	40541	120	937.0	683.0
40641	40791	150	819.0	783.0
40821	40941	120	882.0	628.0
41041	41131	90	891.0	631.0
41161	41361	200	806.0	576.0
41541	41721	180	896.0	613.0
41991	42061	70	1150.0	529.0
42071	42150	80	1085.0	609.0
42190	42430	240	1002.0	598.0
42810	42900	90	830.0	625.0
43270	43480	210	1136.0	706.0
43520	43670	150	1066.0	726.0
43859	43959	100	1070.0	665.0
44179	44389	210	726.0	518.0
44519	44709	190	715.0	556.0
44759	44869	110	854.0	713.0
44889	44989	100	895.0	696.0
45029	45469	440	842.0	656.0
45559	45688	130	995.0	598.0
45718	45928	210	1003.0	449.0
46008	46198	190	822.0	442.0
46258	46488	230	962.0	682.0
46518	46688	170	823.0	653.0
46858	47058	200	905.0	680.0
47477	47557	80	897.0	558.0
47627	47767	140	896.0	540.0
47847	48117	270	787.0	523.0
48177	48267	90	851.0	372.0
48477	48607	130	787.0	412.0
48627	48697	70	786.0	430.0
48737	48857	120	847.0	406.0
49006	49126	120	771.0	452.0
49166	49256	90	972.0	395.0
49306	49406	100	932.0	424.0
49586	49686	100	975.0	393.0
49706	50056	350	919.0	444.0
50256	50486	230	980.0	556.0
50526	50646	120	971.0	595.0
50686	50935	250	844.0	506.0
50955	51105	150	824.0	505.0
51175	51245	70	1180.0	817.0
51335	51455	120	1053.0	865.0
51655	51855	200	1095.0	820.0
52045	52155	110	763.0	497.0
52205	52375	170	952.0	484.0
52385	52584	200	904.0	491.0
52604	52784	180	916.0	478.0
53144	53454	310	888.0	525.0
53574	53994	420	912.0	447.0
54074	54293	220	893.0	512.0
54433	54533	100	915.0	500.0
54543	54613	70	916.0	423.0
54713	54973	260	901.0	436.0
55073	55193	120	883.0	536.0
55373	55453	80	894.0	551.0
55893	56002	110	909.0	528.0
56282	56352	70	850.0	505.0
56602	56782	180	814.0	588.0
57372	57442	70	946.0	647.0
57462	57532	70	933.0	643.0
57651	57721	70	1212.0	384.0
57871	57941	70	990.0	482.0
58011	58131	120	945.0	516.0
58201	58301	100	1196.0	389.0
58461	58551	90	958.0	450.0
58571	58691	120	981.0	448.0
58841	58971	130	937.0	602.0
59191	59271	80	735.0	785.0
59590	59790	200	768.0	702.0
59960	60030	70	1281.0	498.0
60140	60270	130	1317.0	334.0
60670	60870	200	995.0	538.0
61019	61539	520	927.0	537.0
61779	62199	420	1027.0	460.0
62359	62479	120	710.0	700.0
62519	62639	120	879.0	715.0
62659	62788	130	822.0	711.0
62808	62918	110	839.0	701.0
63318	63548	230	1094.0	841.0
63558	63688	130	1048.0	831.0
64038	64158	120	627.0	477.0
64178	64418	240	750.0	509.0
64727	64857	130	966.0	490.0
64877	65037	160	978.0	536.0
65267	65377	110	785.0	731.0
65457	65557	100	803.0	677.0
65577	65747	170	799.0	636.0
65767	65987	220	888.0	613.0
66436	66666	230	939.0	642.0
66686	66896	210	895.0	657.0
66956	67136	180	910.0	578.0
67156	67256	100	939.0	596.0
67326	67456	130	912.0	681.0
67596	67686	90	897.0	690.0
67696	68135	440	928.0	600.0
68315	68445	130	965.0	551.0
68465	68665	200	913.0	524.0
68685	68765	80	895.0	427.0
69085	69165	80	1208.0	896.0
69405	69974	570	1116.0	818.0
70084	70404	320	1098.0	717.0
70574	71114	540	681.0	611.0
71254	71433	180	737.0	592.0
71503	71893	390	794.0	574.0
72243	72323	80	1260.0	634.0
72343	72483	140	1223.0	623.0
72523	72753	230	1109.0	649.0
72773	72913	140	1110.0	578.0
73042	73152	110	1043.0	594.0
73172	73262	90	954.0	659.0
73302	73402	100	939.0	692.0
73432	73532	100	852.0	616.0
73742	73852	110	907.0	609.0
73872	73942	70	927.0	618.0
74022	74182	160	874.0	689.0
74192	74272	80	854.0	753.0
74342	74482	140	863.0	581.0
74652	74831	180	923.0	636.0
74861	74951	90	807.0	643.0
75311	76161	850	1154.0	606.0
76301	76780	480	1165.0	579.0
76940	77080	140	629.0	711.0
77350	77500	150	1032.0	706.0
77520	77600	80	992.0	750.0
77860	77960	100	1026.0	591.0
78279	78439	160	799.0	516.0
78459	78609	150	815.0	433.0
78659	78869	210	843.0	678.0
78889	78969	80	881.0	763.0
79069	79259	190	760.0	663.0
79489	79769	280	997.0	632.0
79799	80268	470	901.0	481.0
80338	80458	120	1147.0	819.0
80558	80838	280	1047.0	759.0
81038	81248	210	1061.0	703.0
81288	81717	430	828.0	510.0
81727	81907	180	856.0	484.0
81947	82297	350	908.0	537.0
82457	83117	660	873.0	529.0
83127	83257	130	837.0	558.0
83936	84016	80	996.0	586.0
84176	84266	90	933.0	613.0
84286	84486	200	831.0	685.0
84606	84726	120	1224.0	525.0
84766	84916	150	1013.0	406.0
84946	85935	989	981.0	380.0
86075	86675	600	1085.0	379.0
86844	86924	80	566.0	746.0
87134	87214	80	893.0	641.0
87244	87734	490	1004.0	728.0
87834	87924	90	963.0	630.0
87954	88224	270	1099.0	702.0
88264	88474	210	926.0	608.0
88833	88963	130	560.0	442.0
89053	89153	100	644.0	508.0
89183	89253	70	821.0	605.0
89413	89613	200	729.0	508.0
89833	89953	120	711.0	597.0
90053	90262	210	1076.0	774.0
90312	90482	170	708.0	707.0
90522	90592	70	797.0	646.0
90742	90892	150	786.0	514.0
91202	91322	120	905.0	545.0
91392	91462	70	861.0	543.0
91492	91772	280	772.0	635.0
91842	92011	170	1019.0	627.0
92031	92241	210	937.0	614.0
92351	92491	140	901.0	424.0
92591	92721	130	870.0	431.0
92901	93011	110	1096.0	753.0
93171	93351	180	797.0	478.0
93361	93601	240	894.0	495.0
93630	93750	120	1032.0	619.0
93850	94150	300	846.0	538.0
94170	94430	260	920.0	511.0
94590	95589	999	900.0	549.0
96039	96339	300	1076.0	539.0
96379	96709	330	987.0	578.0
96809	97088	280	941.0	616.0
97098	97248	150	864.0	576.0
97388	97598	210	947.0	640.0
97658	97758	100	890.0	651.0
97778	97958	180	844.0	559.0
97978	98268	290	935.0	582.0
98388	98558	170	841.0	608.0
98658	98748	90	1456.0	500.0
98758	98847	90	1368.0	481.0
99107	99487	380	959.0	479.0
99547	99737	190	981.0	504.0
